Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,579.16,566.13,503.53,498.09,490.04,495.09,493.3,539.5,548.47,527.4,518.18,531.11,525.6,505.11,531.65,534.7,505.21,488.53,484.33,473.87,471.01,478.56,493.18,479.98
4,581.86,568.6,504.7,503.92,494.8,496.76,496.72,543.63,549.81,530.42,524.01,533.72,531.53,509.49,538.15,540.64,507.93,493.6,490.85,478.94,479.88,482.47,500.57,484
7,586.21,567.82,508.42,500.89,492.32,495.1,495.59,540.87,551.09,530.79,523.24,529.93,526.51,510.92,534.36,539.8,507.38,493.75,491.23,476.91,474.77,478.42,497.54,479.94
11,585.76,571.7,506,502.1,494.52,497.69,496.19,542.6,553.84,532.12,522.32,531.8,527.51,508.96,535.11,541.9,511.34,492.36,488.88,478.76,477.86,483.59,499.39,482.83
14,585.28,569.31,511.29,500.85,491.7,497.77,493.73,543.59,553.43,530.93,525.51,534.87,528.33,511.14,535.56,538.8,507.99,493.62,490.8,481.26,479.7,487.38,504.86,481.62
18,583.89,571.88,509.68,504.81,497.49,496.32,492.17,543.03,553.22,532.31,517.91,532.54,529.99,509.82,534.48,540.29,512.6,492.73,492.58,477.98,479.3,480.72,499.69,484.79
21,587.27,570.85,508.55,500.4,492.61,496.92,496.34,543.74,555.26,530.63,521.76,533.09,529.19,509.24,534.47,543.68,510.04,493.41,489.91,474.72,476.66,483.13,501.48,485.38
25,584.68,568.38,508.35,500.81,493.61,497.22,497.34,542.78,551.54,532.23,521.11,534.52,527.11,509.46,535.47,540.13,511.72,492.34,491.06,479.25,477.39,483.98,501.33,483.35
28,586.58,568.99,510.34,503.36,493.92,497.3,496.37,545.48,551.46,530.99,521.65,533.51,529.89,509.63,536.65,541.64,513.85,491.2,491.02,480.14,480.55,486.06,501.72,484.53
32,584.33,571.37,510.03,501.88,495.41,494.44,494.12,542.08,555.16,531.22,524.52,536.4,530.79,509.66,535.83,540.52,511.41,489.93,492.56,478.08,476.1,483.32,499.06,480.34
36,582.88,567.11,505.8,498.75,493.82,495.4,494.23,541.95,552.93,530.74,523.17,531.76,528.09,509.14,534.28,538.62,507.74,491.63,487.91,476.76,477.31,481.67,497.99,478.93
39,587.47,570.74,510.12,502.08,497.86,497.63,495.96,545.17,554.04,532.57,525.17,535.79,530.61,510.87,535.32,541.8,511.62,491.64,492.91,480.35,477.57,486.07,502.42,483.6
43,586.12,571,506.91,503.69,494.38,496.87,497,543.08,551.62,530.68,521.95,533.68,526.69,507.74,532.78,538.73,510.17,490.86,491.02,477.84,477.28,482.63,498.27,482.47
46,571.3,555.59,494.77,487.11,481.95,483.5,483.28,526.6,535.32,515.35,505.19,517.46,512.7,495.87,520.32,523.79,492.62,475.73,470.68,461.13,459.74,466.04,484.72,466
50,577.88,560.6,500.02,491.58,485.4,486.71,490.52,532.37,539.51,520.64,512.28,523.23,518.59,497.64,524.96,530.69,497.8,478.96,481.19,463.27,464.05,471.09,487.09,470.79
