Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,-0.0040257,-0.0031042,-0.002422,0.0026293,0.0035715,0.0043424,-0.0044296,-0.0029878,-0.0019811,-0.0016155,-0.0030795,0.0055657,0.001618,-0.0046914,-0.011135,0.0032093,-0.0091515,0.0050615,0.0028243,-0.0042369,0.0087524,0.0032189,0.0033839,-0.0013137
4,-0.00055978,0.0046827,-0.0026391,-0.0021832,-0.0039285,0.0019738,-0.0030359,-0.0047447,0.0088589,-0.002878,-0.0045777,0.0038169,0.0045756,-0.0044422,0.0021423,0.0046261,0.0075486,0.0036745,-0.0039913,-0.0021302,-0.0053234,0.00081151,0.003763,-0.0079662
7,-0.0035093,0.0023335,0.002263,-0.0052601,0.0016691,-0.0033859,0.0043411,-0.00088287,0.0086691,-0.0048779,0.0096029,0.012646,0.0029528,-0.0032423,-0.015431,-0.002436,-0.0088098,-0.007438,-0.0040798,0.0039129,-0.0071241,0.0024792,0.0030557,-0.0069555
11,-0.0020881,0.0047229,0.0020493,0.0030765,0.00089745,0.0016604,-0.0028973,0.0019588,-0.0024374,-0.0031282,0.004219,-0.0052711,-0.0025739,-0.004769,0.029861,0.0024245,-0.0067828,0.0058876,-0.0024048,0.0035013,-0.005116,-0.0036314,-0.0024231,0.0029314
14,0.0018469,0.0040899,0.0046037,0.0050231,0.0046665,0.0024036,-0.002367,-0.0018639,0.0051392,-0.0034259,-0.0055591,-0.0035866,-0.0033641,0.011868,-0.012034,-0.0034481,0.008804,0.0074716,0.0064995,-0.0063804,-0.0053058,-0.0055439,0.002011,-0.0029004
18,-0.0031468,0.0042159,-0.0029073,-0.0036901,-0.0035163,-0.0039262,0.0050078,-0.0017085,0.0015816,-0.0026352,-0.0061464,0.0048155,0.0022028,-0.0035892,-0.009235,0.0042733,-0.0081894,0.0049336,-0.0037943,-0.0059412,-0.0055812,-0.0022567,0.0061253,0.005342
21,-0.0031437,-0.0033629,0.0012734,-0.0042357,-0.0017507,-0.0035845,0.002437,-0.001902,-0.003481,-0.0023379,-0.0058446,0.0027914,-0.00395,-0.0051647,-0.012509,0.0027304,0.0047329,-0.0077047,0.0022034,0.0049192,-0.0049892,-0.0035111,0.0020699,-0.0030353
25,0.0034236,-0.0050399,-0.002048,-0.0036018,-0.0025231,-0.0022492,-0.0014877,-0.004302,0.0045373,-0.0031427,0.0054816,0.0031666,0.0028764,-0.0044387,-0.0099531,-0.0045196,-0.0091073,0.0022251,-0.0049436,0.0033846,0.011259,0.0044307,-0.0029143,-0.0054716
28,-0.0048701,-0.0075197,-0.0049835,-0.0025776,0.0019845,0.0018529,-0.0044382,-0.0034174,0.0057433,0.0062526,0.0027717,0.0043214,0.0012775,-0.0055421,-0.0088432,0.0048815,-0.0027234,0.004608,0.0018714,0.0056353,-0.007077,0.00064287,0.0041811,0.0011099
32,0.0034767,-0.002812,0.0031313,-0.0029235,-0.0032892,0.0023908,0.0029071,0.003722,0.0049433,0.0051191,0.0081791,-0.0026218,0.0050751,0.004071,-0.0093547,-0.0017871,0.014563,0.0047279,-0.0047303,0.0028454,-0.0049282,0.0019894,-0.0042894,0.0045958
36,0.0015376,0.0014277,0.0011758,-0.0027316,-0.0030567,0.0027633,0.0021154,0.0011489,-0.0046163,0.00066403,-0.0044636,0.0041259,-0.0038218,-0.0034807,-0.013706,-0.0043314,-0.008605,-0.0063303,0.0018424,0.0021601,0.012335,0.0051959,-0.0065918,-0.0061164
39,0.0052066,0.0038939,0.0030865,0.0026047,0.0047234,-0.0022879,-0.0054871,0.0032867,-0.0032055,-0.0020435,-0.0065201,-0.0025318,-0.0032079,-0.002617,0.015396,0.0036133,-0.0083751,-0.0024381,0.0030363,-0.0066702,-0.0068476,0.0029002,-0.0066964,0.0016037
