Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,-249.78,-470.66,-103.64,238.81,15.817,-32.465,-55.521,-245.51,-38.339,54.009,153.69,118.59,-81.006,42.456,643.22,15.506,31.972,385.09,33.343,-74.351,596.8,25.215,-110.88,-0.91209
4,-173.31,-346,-109.5,166.07,-155.02,-119.82,-9.5974,-314.15,323.45,21.888,106.96,46.38,1.3588,52.54,1226.9,65.778,631,336.16,-65.23,-33.702,107.61,-12.353,-100.86,-214.99
7,-231.06,-411.1,-45.095,23.44,-44.606,-209.51,114.27,-204.35,308.85,-65.938,567.93,686.11,-53.573,93.406,125.18,-58.008,58.099,58.263,-68.174,26.446,3.134,8.8956,-118.7,-162.69
11,-192.78,-344.51,-50.005,254.7,-56.609,-126.47,-5.9663,-181.02,-47.191,13.381,264.82,-140.01,-122.57,39.201,5253.4,-4.5146,192.63,421.61,-23.391,17.199,117.7,-65.963,-174.96,34.87
14,-155.39,-366.54,40.547,352.9,70.486,-108.84,6.3548,-217.96,94.849,2.3332,66.441,-74.348,-143.66,764.19,548.66,-84.977,718.38,507.05,174.63,-143.32,108.48,-133.91,-138.28,-24.098
18,-219.44,-362.41,-117.42,110.95,-136.43,-232.58,141.78,-215.16,-10.125,29.466,38.441,84.318,-70.959,82.901,818.94,51.559,102.99,379.93,-58.905,-126.92,94.508,-34.622,-14.463,104.03
21,-219.35,-477.27,-63.743,84.022,-80.067,-217.59,57.301,-218.69,-74.31,37.84,53.179,16.555,-162.93,21.781,495.85,2.625,483.8,41.956,20.472,53.377,123.68,-62.635,-137.39,-26.876
25,-115.4,-532.92,-94.734,114.96,-100.07,-172.11,21.316,-293.91,69.28,12.865,314.71,26.393,-55.575,52.68,756.39,-123.64,35.411,301.64,-100.31,14.763,830.56,61.107,-184.65,-98.745
28,-285.92,-655.93,-204.72,154.38,-37.624,-122.52,-55.861,-259.41,123.71,290.14,223.61,64.448,-85.439,3.8717,851.09,76.776,356.89,367.38,14.893,76.284,6.2513,-13.303,-88.578,9.3436
32,-113.64,-463.83,-20.137,142.53,-127.06,-109.19,68.39,-130.42,86.178,217.16,464.81,-47.988,23.033,213.44,808.84,-45.598,1291.1,371.9,-91.803,4.5839,126.5,0.42169,-221.29,78.313
36,-160.42,-424.55,-65.017,149.29,-118.12,-97.984,50.838,-193.74,-114.67,71.283,111.16,57.181,-158.45,86.303,353.36,-116.09,73.277,119.84,14.449,-5.8117,948.98,89.63,-313.95,-124.66
39,-41.357,-372.72,-21.622,238.01,73.721,-173.13,-101.81,-145.83,-66.222,45.142,19.157,-45.946,-139.05,109.64,2282.1,27.988,89.895,257.64,38.464,-154.77,21.139,17.665,-319.1,13.99
43,-193.59,-392.02,-88.534,298.98,-137.89,-88.327,86.012,-119.38,-72.093,-30.424,318.62,-132.42,-54.463,93.293,545.41,11.336,61.155,317.79,-1.0857,71.815,38.607,-77.131,-56.367,35.649
46,-192.5,-365.94,-110.84,252.6,-26.742,-119.52,73.591,-228.98,-221.59,67.459,240.54,-3.2802,-50.488,72.626,552.62,-137.95,867.47,11.367,17.581,-26.667,220.4,54.803,-36.59,53.977
50,-46.422,-287.02,-69.114,499.24,-11.008,-120.57,21.387,-209.86,-207.57,186.67,653.84,49.841,-191.94,482.47,709.14,-28.433,817.67,402.04,-100.97,-20.338,72.725,-148.46,-81.466,-18.938
53,-122.03,-420.29,-106.43,206.74,-110.63,-64.617,57.94,-225.84,30.138,15.191,571.8,-85.949,-66.3,443.21,838.71,-119.78,128.06,394.86,-62.72,32.875,793.07,-24.293,-90.087,-44.18
57,-200.16,-394.02,43.146,198.6,83.595,-59.445,93.544,-213.29,-86.672,46.338,230.42,-111.76,204.69,985.36,1115.2,-11.977,833.6,420.76,-71.731,-52.513,49.473,-32.357,-110.24,-86.189
60,1236,385.04,1659.4,2038.5,1973.2,440.81,748.7,475.02,1239.6,652.18,2140.9,1472.1,678.72,939,6537.2,1113.4,2176.2,1221.9,1676.6,407.88,2113.7,439.87,337.61,53.385
64,5379.6,2219.2,4904.7,6138.6,5619.5,3218.3,1912.6,1942.7,3098.3,3185.9,3831.2,3977.5,2002.8,2813.3,6351,2586.3,4927.8,3340.7,3003.3,2475.3,3663.4,1611.5,1542.3,1176.8
