Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,-8.8306,-6.169,-5.5908,6.5617,8.7925,10.493,-9.3063,-6.7158,-4.151,-3.8442,-6.2152,11.676,3.4309,-9.8761,-23.724,6.8294,-18.881,10.171,5.7349,-7.3756,18.897,6.3339,6.5079,-2.4463
4,-1.2279,9.306,-6.0921,-5.4484,-9.6713,4.7695,-6.3783,-10.665,18.562,-6.8482,-9.2387,8.0073,9.7023,-9.3517,4.5641,9.8444,15.574,7.3835,-8.1046,-3.7082,-11.493,1.5968,7.2371,-14.834
7,-7.6979,4.6374,5.2238,-13.127,4.1091,-8.1817,9.1204,-1.9844,18.165,-11.607,19.381,26.53,6.2613,-6.8255,-32.877,-5.184,-18.176,-14.946,-8.2842,6.8116,-15.381,4.8784,5.8768,-12.952
11,-4.5804,9.3859,4.7306,7.6778,2.2094,4.0123,-6.087,4.4029,-5.1072,-7.4435,8.5148,-11.058,-5.4579,-10.04,63.619,5.1595,-13.994,11.831,-4.8831,6.0951,-11.046,-7.1457,-4.6602,5.4587
14,4.0512,8.128,10.627,12.536,11.488,5.808,-4.973,-4.1894,10.768,-8.1519,-11.219,-7.524,-7.1335,24.984,-25.64,-7.3377,18.164,15.014,13.198,-11.107,-11.455,-10.909,3.8675,-5.401
18,-6.9026,8.3783,-6.7111,-9.2088,-8.6565,-9.4872,10.521,-3.8403,3.314,-6.2706,-12.405,10.102,4.671,-7.556,-19.675,9.0936,-16.896,9.9137,-7.7045,-10.342,-12.05,-4.4406,11.78,9.9476
21,-6.896,-6.6831,2.9395,-10.57,-4.31,-8.6615,5.1201,-4.2752,-7.294,-5.563,-11.796,5.8559,-8.3757,-10.873,-26.65,5.8103,9.7645,-15.482,4.4742,8.5632,-10.772,-6.9088,3.9808,-5.6523
25,7.5099,-10.016,-4.7276,-8.9886,-6.2115,-5.4349,-3.1256,-9.6698,9.5072,-7.4781,11.063,6.643,6.0993,-9.3442,-21.205,-9.6177,-18.79,4.471,-10.038,5.8919,24.308,8.7184,-5.6047,-10.189
28,-10.683,-14.944,-11.504,-6.4326,4.8854,4.4775,-9.3245,-7.6812,12.034,14.878,5.5939,9.0656,2.7089,-11.667,-18.841,10.388,-5.6188,9.2593,3.7999,9.8099,-15.279,1.265,8.0411,2.0667
32,7.6264,-5.5884,7.2282,-7.2958,-8.0973,5.7771,6.1077,8.366,10.358,12.181,16.507,-5.5001,10.761,8.5702,-19.93,-3.803,30.045,9.5003,-9.605,4.9533,-10.64,3.9147,-8.2494,8.5581
