0,22.009,49.26,0+57.527i,0+55.207i,33.867,0+46.268i,26.375,NaN,0+60.567i,16.033,0+57.864i,35.766,11.461,0+21.321i,56.858,0+37.5i,0+45.288i,670.73,128.84,0+140.73i,0+65.972i,0+94.042i,0+88.129i,0+7.7007i
6,0+61.761i,0+50.605i,0+55.475i,53.238,0+57.119i,33.189,19.417,NaN,0+39.532i,0+55.929i,0+63.471i,14.349,0+60.214i,0+26.97i,0+65.724i,0+47.229i,0+48.939i,629.84,126.42,0+138.55i,0+95.628i,0+82.456i,0+136.38i,0+94.056i
12,87.589,0+52.207i,0+79.669i,25.588,62.087,107.39,113.9,NaN,35.801,26.683,0+82.518i,0+8.0043i,96.764,42.353,45.202,66.099,55.682,0+22.131i,85.352,72.167,0+51.487i,0+43.348i,0+99.704i,0+68.256i
18,57.139,0+14.956i,807.09,0+92.711i,24.934,41.242,64.722,NaN,25.047,60.946,0+63.971i,0+26.743i,56.428,55.157,0+35.981i,46.474,41.504,108.64,0+35.677i,26.273,0+49.474i,54.654,0+31.407i,0+33.219i
24,86.2,0+72.2i,146.33,0+45.698i,60.424,0+18.885i,48.501,NaN,0+51.33i,39.771,0+44.262i,0+49.34i,64.482,0+25.448i,19.382,0+88.871i,34.918,0+73.599i,37.87,70.235,0+38.138i,0+65.101i,18.653,0+102.35i
30,79.147,0+54.508i,127.25,0+74.905i,0+45.998i,0+32.371i,0+53.724i,NaN,0+60.103i,0+30.305i,0+61.184i,32.866,0+72.236i,0+35.544i,0+33.928i,0+73.98i,0+69.129i,0+76.438i,29.456,155.42,37.624,0+76.171i,0+96.422i,7.7055
36,43.2,0+47.609i,74.84,0+74.851i,0+50.242i,8.4688,40.428,NaN,0+43.856i,0+66.438i,0+72.106i,0+51.023i,0+25.51i,0+42.986i,57.555,0+81.73i,0+73.667i,0+30.305i,0+55.656i,60.719,63.941,0+53.545i,75.884,0+72.365i
42,0+155.93i,1249.4,159.95,0+280.6i,109.57,0+302.17i,338.77,NaN,0+552.93i,0+378.09i,139.35,0+383.14i,0+158.97i,0+121.97i,0+308.25i,45.342,566.12,382.3,0+214.42i,132.82,0+142.03i,0+377.89i,410.44,0+261.44i
48,1921.8,348.46,73.739,0+147.69i,269.06,269.49,216.6,NaN,0+331.55i,0+353.83i,204.68,0+306.69i,74.857,0+241.89i,189.48,319.43,573.25,887.02,221.79,420.18,0+594.47i,0+157.79i,308.75,0+247.54i
54,0+285.73i,203.25,0+41.03i,0+134.79i,0+377.3i,87.006,0+188.66i,NaN,0+485.74i,225.2,105.91,208.28,0+199.68i,0+226.82i,0+137.15i,400.32,919.59,0+137.08i,0+285.87i,0+323.94i,38.182,0+489.86i,0+236.73i,0+248.52i
60,0+582.04i,0+531.51i,0+155.93i,0+28.068i,0+155.93i,185.98,0+17.439i,NaN,0+191.76i,196.61,238.74,0+118.87i,134.37,0+116.17i,0+422.41i,0+444.87i,0+428.99i,2567.9,357.03,0+505.29i,0+242i,53.232,349.76,0+239.45i
66,0+312.08i,0+645.09i,224.36,0+283.02i,160.27,0+291.76i,186.42,NaN,0+457.63i,0+432.99i,375.11,350.63,0+245.15i,0+19.477i,0+222.37i,0+135.58i,0+418.95i,264.12,0+466.71i,197.41,0+435.46i,172.14,456.11,183.55
72,277.35,271.68,0+289.49i,0+428.94i,332.59,72.877,0+225.78i,NaN,0+525.11i,124.29,213.78,184.42,0+246.49i,129.16,179.21,160.59,575.67,0+244.14i,454.49,0+198.74i,0+342.7i,0+306.54i,306.57,0+2.3022i
78,47.564,53.245,64.493,14.751,16.149,55.873,0+10.15i,NaN,0+24.831i,0+35.693i,0+81.318i,63.936,0+32.119i,58.083,52.338,0+54.007i,34.881,0+59.535i,0+29.969i,45.108,83.968,74.41,21.325,0+31.533i
84,115.65,42.055,0+59.257i,62.86,0+33.709i,0+37.349i,78.517,NaN,43.612,0+32.234i,0+42.802i,36.412,29.684,0+22.976i,49.448,16.679,47.647,5.8084,0+113.45i,31.436,0+95.701i,0+81.69i,46.224,0+43.188i
90,82.989,38.288,55.638,0+8.972i,0+46.787i,0+29.926i,0+50.092i,NaN,0+37.946i,0+41.189i,0+45.966i,45.878,43.433,34.36,135.21,0+37.545i,21.078,0+61.784i,0+141.18i,0+11.101i,0+75.092i,58.045,0+107.4i,85.817
96,83.269,56.272,0+48.417i,53.888,0+30.238i,0+25.374i,0+47.749i,NaN,0+34.71i,0+44.24i,0+31.408i,109.6,0+18.288i,21.91,51.949,0+66.67i,0+103.63i,28.153,0+33.145i,0+74.937i,0+18.26i,0+98.505i,0+90.945i,0+64.432i
102,103.56,0+34.944i,3.2838,61.6,80.323,10.913,96.149,NaN,0+26.073i,37.515,0+45.043i,51.544,40.51,48.206,46.813,28.322,49.467,0+111.91i,0+75.026i,111.08,0+34.508i,0+60.355i,0+74.339i,0+62.122i
108,38.427,0+38.245i,0+54.535i,65.885,0+17.644i,72.47,0+55.723i,NaN,0+49.714i,72.352,0+41.195i,0+17.011i,121.23,22.477,92.073,0+32.478i,0+45.086i,0+92.091i,0+39.679i,0+66.973i,0+47.463i,0+56.519i,59.768,149.83
114,0+9.4201i,0+78.862i,39.699,90.748,28.694,58.126,0+69.086i,NaN,0+48.088i,14.798,21.749,88.995,11.121,0+65.845i,62.974,0+40.058i,0+49.036i,99.546,45.428,119.36,109.55,47.921,77.123,67.585
120,75.187,0+25.659i,39.666,13.012,21.284,17.898,37.16,NaN,10.299,19.12,0+43.926i,0+71.89i,54.763,44.544,0+82.776i,0+45.022i,65.342,0+76.781i,0+93.754i,0+33.569i,0+9.6165i,0+25.168i,0+131.13i,114.37
126,235.19,209.06,194.77,258.77,197.73,221.51,262.81,NaN,111.89,162.07,104.69,194.05,172.62,203.03,198.54,66.692,181.33,215.14,199.55,257.55,243.51,223.13,203.2,93.482
132,576.49,606.29,596.73,647.88,644.17,639.14,603.12,NaN,467.93,423.03,397.31,457.1,446.34,442.29,494.17,362.39,645.92,687.36,701.37,694.16,706.36,721.12,645.8,308.73
138,764.62,772.63,769.19,859.59,817.47,777.05,758.95,NaN,622.77,595.81,553.77,645.18,615.77,664.68,635.63,511.98,869.7,937.48,934.76,936.78,963.77,938.49,858.87,404.56
144,816.13,846.02,894.79,966.87,934.32,893.83,952.4,NaN,726.06,700.29,596.5,745.72,702.59,750.54,770.33,611.98,1024.9,1070.6,1069.4,1118.1,1080.2,1125.4,998.26,485.17
150,890.06,930,990.33,1050,1060.9,996.27,1002.4,NaN,807.46,770.27,711.27,787.7,816.57,855.21,903.94,668.37,1117,1180.6,1197.6,1215.4,1209.5,1213.6,1110.8,537.99
156,980.18,1054.9,1081.5,1145.5,1127.5,1113.9,1106.6,NaN,835.82,824.44,765.59,885.81,873.37,906.1,983.68,713.52,1229.2,1286.7,1259.1,1310.9,1331.6,1276.2,1233.9,522.01
162,1073.1,1158,1160.6,1214.8,1183.7,1161.3,1189.8,NaN,946.28,908.8,827.4,934.75,944.4,970.56,1000.3,779.05,1333.8,1373.4,1377.6,1376.9,1440.2,1419.4,1319.5,572.07
168,1129.9,1198.9,1257.2,1303.5,1300.4,1247.1,1237.7,NaN,1014,967.35,901.95,998.85,1008.9,1038.7,1117.8,825,1406.7,1477.6,1470.3,1511,1534.4,1507,1443.9,612.4
174,1158.1,1248.6,1336,1369.4,1357.1,1311.6,1362.8,NaN,1051.8,1029.1,965.12,1073.2,1084.4,1089.6,1143,901.02,1489.3,1553.2,1525.6,1570.2,1597.9,1575.1,1513.1,674.12
180,1204.4,1293,1342.7,1393.2,1391.9,1376.8,1343.3,NaN,1085.6,1085.6,1005.8,1100.5,1118.7,1164.5,1205.2,926.86,1518.9,1568.5,1615.8,1622.8,1689.8,1637.1,1541.2,640.75
186,1201.1,1284.4,1377.5,1431.8,1425.3,1426.3,1427.3,NaN,1081.6,1107.1,1029.3,1129.5,1151.1,1189.3,1275.8,963.8,1563.3,1630.8,1605.6,1657.4,1712.2,1685.1,1600.7,617.06
192,1214.7,1350.6,1376.3,1454.5,1453.3,1426.3,1401.6,NaN,1120.3,1153.9,1029.4,1135,1178.6,1249.7,1280.8,976.65,1553.3,1632.8,1667.7,1703,1754.7,1707.8,1703.2,663.54
198,1228.3,1346.3,1399.4,1435.7,1464,1410.2,1426.7,NaN,1141.6,1151.4,1064.9,1165.6,1188.5,1264.8,1303.5,1000.7,1566.7,1646.2,1690,1719.6,1793.6,1731.7,1661.5,670.81
204,1243.3,1360.3,1381.4,1491.8,1497.6,1429.5,1441.9,NaN,1130.3,1175.2,1063.7,1164.8,1202.8,1263,1346.3,1006.9,1606.5,1667.5,1741.8,1734.5,1820.3,1803.9,1736.1,664.8
210,1253.9,1380.8,1432.3,1493.6,1474.2,1467.8,1492,NaN,1145.4,1142.7,1071.5,1197.6,1202.7,1264.3,1355,997.91,1598.5,1653.8,1691,1746.7,1828.2,1767.4,1712,673.61
216,1263.5,1380.1,1441.9,1463.9,1520.7,1479.1,1484.3,NaN,1152,1177.5,1086.7,1175.4,1219.3,1301.1,1326.6,1042.1,1608.1,1680.2,1726.3,1760.7,1823.6,1792.3,1730.4,693.97
222,1255.8,1405.6,1455.4,1515.5,1530.3,1475.8,1434.4,NaN,1183.5,1179.6,1092.9,1191.9,1238.2,1290.9,1339.6,1035.4,1627.1,1696.5,1754.9,1784,1848,1763.7,1769.4,720.19
228,1247.6,1404.9,1476.9,1517.1,1554.4,1471.9,1501.7,NaN,1191.4,1188,1104.6,1217.7,1255.2,1299.8,1351.8,1031.8,1630.9,1687.8,1755.6,1825.9,1844.3,1830.1,1763.1,724.7
234,1276.4,1402.9,1454.6,1519.5,1549.2,1492.6,1519.1,NaN,1182.8,1187.9,1109.5,1215.4,1237,1312.4,1382.4,1030.7,1619.4,1734.4,1748.7,1811.3,1869.5,1764.8,1756.8,662.05
240,1283.8,1400.8,1419.1,1519.5,1528.7,1503.4,1518.1,NaN,1221.1,1172.6,1114.3,1203.1,1248.5,1306.5,1364.1,1056.3,1640.4,1743,1779.1,1812.3,1867.5,1764.4,1794.9,699.04
246,1301.6,1396.7,1469.8,1510.1,1509.6,1476.6,1512.2,NaN,1167.9,1192.7,1124.5,1203.2,1244.8,1336.5,1382.2,1046.3,1637.1,1717,1781.9,1813.8,1883.2,1809.9,1763.8,724.92
252,1278.7,1397.2,1486.2,1532.7,1556.8,1506.9,1532.7,NaN,1191.3,1221.2,1126.5,1225,1256.3,1342,1407.1,1044.8,1652.9,1719.9,1789.4,1844,1901,1840.5,1783.3,674.26
258,1291,1386.4,1461.9,1542.4,1528.6,1475.1,1490.2,NaN,1212.4,1213.1,1111.6,1230,1237.6,1316,1399.6,1060.1,1643.3,1754.4,1756.7,1850.5,1905.3,1802.5,1827.1,708.13
264,1285.4,1415.7,1482.9,1497,1526.3,1511.2,1476.2,NaN,1196.7,1214,1125.5,1243.5,1249.3,1327.2,1403.8,1040.2,1671.7,1759.6,1785,1864.2,1913.5,1866.9,1780.2,678.54
270,1271.6,1379.8,1510.6,1536.2,1530.1,1492.6,1513,NaN,1200.4,1227.5,1103.7,1215.7,1260.4,1311.6,1389.5,1058.9,1638.5,1767.3,1793.6,1838.2,1863.4,1823.5,1791.6,699.78
