Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,-0.0061937,-0.0043324,0.0028094,-0.0039182,-0.0047637,0.0026208,-0.0034581,0.0015948,-0.002968,-0.0048863,-0.001105,0.001812,-0.0020548,-0.0033489,-0.0032523,-0.0022016,-0.0027782,-0.0021718,0.049815,0.012774,-0.0087739,-0.004227,-0.0053599,-0.0027329
6,0.0041821,-0.0067102,0.0040011,-0.0037308,0.0019991,-0.0036857,0.0018822,-0.00046551,0.0050333,-0.0030706,-0.0049818,-0.0052245,-0.0034858,-0.0060737,-0.0037649,-0.0068718,0.001049,-0.0021897,0.054801,0.013081,-0.0086252,-0.0053411,-0.0048765,-0.0057535
12,-0.0032553,0.0049061,-0.0042776,-0.0056155,-0.0025696,0.0038736,0.0066116,0.0071836,0.0045175,0.0033159,0.001351,-0.0051922,-0.003757,0.0064355,-0.00098632,-0.0034428,-0.0035632,0.0036845,0.0027641,0.0058238,0.0035493,-0.0037986,-0.0032057,-0.0040376
18,-0.00484,-0.0016218,-0.0020375,0.068995,-0.0070034,0.0015205,0.0023043,0.0041249,0.0039315,0.0027804,0.00463,0.002165,-0.0043168,0.0025883,0.0027547,-0.0052994,-0.00327,0.0031212,0.0061227,0.0027585,-0.0016529,-0.0036557,0.0016009,0.0035665
24,0.0037745,0.0028791,-0.0055312,0.012121,-0.0044187,0.0039776,-0.0019112,0.003063,0.0037572,-0.0038637,0.0026691,-0.0024989,-0.0053363,0.0035828,-0.0036615,-0.0044416,0.005084,0.0028559,-0.0027254,0.0039533,0.0031258,-0.0031721,-0.0042334,0.0037671
30,-0.0036727,0.0043143,-0.0044416,0.010489,-0.0061865,-0.0029597,-0.0025895,-0.0037626,0.0042267,-0.0047861,-0.0030159,-0.0032494,-0.0025999,-0.0067592,-0.0042642,-0.005275,0.0029378,-0.003919,-0.0032138,0.0036714,0.0079469,-0.0015001,-0.0047116,-0.0035351
36,-0.0054875,-0.0028159,-0.0040087,0.006139,-0.0062422,-0.0031911,-0.0013792,0.0023106,-0.00081001,-0.003269,-0.0057751,0.0043229,-0.005498,-0.004053,-0.0044884,-0.0022595,0.0050847,-0.0039262,0.0025671,0.001588,0.0026272,0.0024194,-0.0035582,0.0055781
42,0.0031443,-0.0046008,-0.0040689,-0.0019806,0.0013648,-0.0016963,0.0034822,-0.0042094,-0.0011995,-0.00383,0.0034154,0.0057234,0.0057738,-0.0018885,-0.0021118,-0.0018526,0.0023495,-0.0027612,-0.00079606,0.0035739,-0.0020333,-0.0020985,0.003526,-0.0019244
48,-0.00078735,-0.0058695,-0.0022632,-0.00098199,-0.0021718,-0.0036976,-0.0043307,-0.0032435,0.00083846,0.0040369,0.0044657,-0.0016045,0.0021488,-0.0037941,0.0035373,-0.0057392,-0.0031989,0.00409,0.0015967,0.0021877,-0.0038489,0.0063415,-0.0015121,-0.0021945
54,0.0024439,-0.0038586,-0.0029946,0.00066852,-0.0026896,0.0047649,-0.0021168,0.0022798,-0.0023339,-0.0028961,-0.0033311,0.0034982,-0.0047978,0.0015112,0.0021528,-0.004183,0.0036157,-0.002779,0.0035852,0.0047687,0.0021404,-0.0012866,0.0061646,0.0047649
