Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,-10.579,-8.4913,5.7279,-8.0919,-9.967,5.3607,-6.8336,3.0911,-5.3005,-8.7476,-1.9523,3.1331,-3.674,-5.791,-5.6609,-3.8897,-4.5803,-3.7902,89.394,23.391,-16.301,-7.6509,-9.1701,-4.5626
6,7.1435,-13.152,8.1577,-7.7048,4.1826,-7.5389,3.7194,-0.90224,8.9887,-5.4972,-8.802,-9.0337,-6.2327,-10.503,-6.5533,-12.141,1.7293,-3.8214,98.341,23.954,-16.025,-9.6674,-8.3432,-9.6057
12,-5.5604,9.6158,-8.7214,-11.597,-5.3764,7.9231,13.065,13.923,8.0676,5.9363,2.387,-8.978,-6.7176,11.128,-1.7168,-6.0825,-5.8744,6.4302,4.9601,10.665,6.5944,-6.8756,-5.4845,-6.7408
18,-8.2671,-3.1786,-4.1541,142.49,-14.653,3.11,4.5534,7.9947,7.0211,4.9776,8.1804,3.7434,-7.7186,4.4757,4.7948,-9.3626,-5.391,5.4471,10.987,5.0515,-3.0709,-6.6169,2.739,5.9543
24,6.4472,5.6429,-11.277,25.033,-9.2453,8.1358,-3.7768,5.9367,6.7098,-6.9171,4.7159,-4.3208,-9.5415,6.1955,-6.3733,-7.8471,8.3817,4.9841,-4.8907,7.2395,5.8075,-5.7416,-7.2429,6.2893
30,-6.2732,8.4559,-9.0557,21.662,-12.944,-6.0539,-5.117,-7.2925,7.5483,-8.5683,-5.3286,-5.6185,-4.6487,-11.688,-7.4223,-9.3196,4.8434,-6.8394,-5.7673,6.7231,14.765,-2.7152,-8.061,-5.9019
36,-9.3732,-5.519,-8.1732,12.678,-13.061,-6.5272,-2.7255,4.4784,-1.4466,-5.8524,-10.204,7.4747,-9.8306,-7.0084,-7.8126,-3.9919,8.3827,-6.8519,4.6067,2.9079,4.8811,4.3792,-6.0877,9.3129
42,5.3707,-9.0174,-8.2958,-4.0904,2.8556,-3.4696,6.881,-8.1585,-2.1422,-6.8567,6.0344,9.8964,10.324,-3.2656,-3.6759,-3.2732,3.8734,-4.8188,-1.4285,6.5446,-3.7776,-3.7983,6.0326,-3.2128
48,-1.3449,-11.504,-4.6143,-2.028,-4.544,-7.5632,-8.5578,-6.2864,1.4974,7.2271,7.8902,-2.7744,3.8422,-6.5608,6.157,-10.14,-5.2738,7.1378,2.8653,4.0061,-7.151,11.478,-2.5871,-3.6637
54,4.1745,-7.5627,-6.1056,1.3806,-5.6274,9.7463,-4.1829,4.4187,-4.1681,-5.1847,-5.8855,6.0487,-8.5785,2.6133,3.7472,-7.3903,5.9609,-4.8498,6.4336,8.7326,3.9768,-2.3287,10.547,7.9551
60,-2.5527,-10.86,7.5443,3.6031,-5.998,4.8647,-6.1758,-2.3169,1.8876,3.8351,-5.544,7.2024,-5.9499,-7.7491,-4.3215,9.3663,4.0319,-4.1875,-3.2595,1.0911,11.029,2.6413,-4.2079,-6.4767
66,1.2776,-6.3659,7.4098,-4.487,5.5154,-4.8265,7.105,-6.2952,-4.7368,9.048,5.818,-6.6666,-11.735,3.9254,-5.016,-4.0768,10.659,2.3126,4.939,9.8582,-6.2595,8.0961,8.3913,-7.6057
72,-2.8685,-8.4531,-6.2797,6.6906,-1.115,-8.5231,-3.4715,6.6183,6.2104,-2.7073,-4.4001,6.229,-8.1616,-3.05,-6.7591,-9.6879,3.4759,5.554,7.2907,-5.3012,-1.4325,6.5301,5.2704,-3.6116
78,-4.3099,-4.827,6.8877,9.4953,-5.8416,2.305,7.0838,-3.27,-1.8964,-3.4007,-6.0536,-9.1217,6.2632,-7.6039,5.5447,-5.3426,-6.4812,4.5059,-2.7168,5.4931,2.5741,6.9414,5.8865,6.5577
84,7.5142,15.886,4.7462,-8.1423,6.4214,-4.3178,-6.0465,9.3534,-1.9563,6.9144,-5.9446,-5.8389,-3.6994,-4.717,-6.2073,-5.7688,-2.3027,5.5786,5.3345,-9.7037,-1.4643,-10.244,-8.6451,7.5493
90,-1.9846,8.7757,3.9467,7.6293,-6.4877,-6.1564,-4.8779,-6.7543,5.1881,-5.2021,-6.7731,-7.5851,-0.94029,-2.1972,-3.3904,15.489,6.9201,3.7638,-3.4179,-13.147,-3.9384,-8.3485,3.6703,-7.7283
96,-8.1081,9.0844,7.2425,-6.4883,3.951,-3.843,-4.6244,-6.5078,-5.096,-4.5334,-7.3104,-5.6667,14.323,-6.9267,8.4971,-5.1102,7.4526,-10.516,6.1549,5.2158,-8.6371,-4.9666,-10.124,-5.3951
102,5.2354,12.666,-6.1437,0.87689,5.7477,10.858,-2.5041,12.493,-2.9174,-2.5898,3.9273,-8.1529,3.3456,-2.4505,3.2924,-5.9248,-8.458,5.955,-10.114,-4.4871,10.798,-5.912,-7.0328,-1.9616
108,-5.193,-6.9463,-6.7267,-7.7081,6.1068,-2.3184,8.9958,-7.5594,3.8747,-7.0359,10.397,10.018,-7.0015,15.482,-3.5601,8.6027,-12.217,-3.6523,-7.7117,4.9342,-7.8593,-6.4019,-6.5452,8.1232
114,-3.943,-9.1874,-11.832,5.2857,10.638,3.3404,6.6776,-8.8434,6.3185,-6.5459,-2.3378,8.1924,10.801,-5.9928,8.1093,-3.4392,-7.6922,-3.8427,11.555,7.7192,11.553,9.9024,2.0747,9.3595
120,-12.36,9.0435,-5.4987,6.2617,-5.8128,3.0973,-1.1822,4.7816,1.8627,2.8338,2.088,9.8314,-13.599,5.9757,3.6692,-14.795,-9.3229,8.5792,-7.0513,-8.8315,-5.4047,-4.3676,-5.05,-12.597
126,27.284,33.803,28.744,26.871,34.016,25.258,27.66,33.009,24.451,16.17,18.022,14.149,25.827,21.762,24.354,22.823,15.385,18.64,21.776,20.669,25.171,22.637,19.517,19.385
132,76.681,87.73,87.994,83.855,89.404,86.889,78.03,77.718,71.558,69.371,61.485,59.385,66.087,60.535,57.713,61.244,66.378,68.626,70.187,71.943,69.888,66.823,64.421,59.652
138,95.553,115.97,111.98,108.11,116.87,109.6,103.6,98.102,93.725,92.408,85.328,84.801,91.815,82.408,85.001,80.65,90.357,91.335,95.183,94.948,94.23,91.588,86.945,79.306
144,109.18,123.79,123.05,126.45,131.25,124.49,117.26,119.39,112.85,107.59,101.05,93.671,105.65,94.768,97.894,97.327,105.74,106.82,108.28,108.22,111.84,103.94,103.17,92.224
150,117.65,135.42,135.5,138.58,142.91,140.2,131.3,128.71,124.36,120.61,110.58,107.92,114.01,110.44,107.08,115.09,114.18,118.03,120.58,121.19,121.73,115.52,112.41,102.99
156,127.06,147.67,154.15,151.09,156.24,149.44,144.2,135.36,130.52,125.84,117.85,118.04,125.52,116.04,116.35,123.17,121.45,127.26,130.19,129.66,131.88,126.99,119.68,113.68
162,138.81,160.63,164.53,162.72,165.45,159.25,152.64,153.07,143.2,140.07,131.55,126.72,134.67,129.31,126.52,127.39,132.62,139.03,139.23,140.67,138.95,137.02,131.19,122.08
168,144.73,170.45,172.22,173.4,176.37,171.45,163.78,160.31,152.13,150.25,141.45,136.43,144.99,138.07,135.79,140.71,140.49,146.58,149.27,149.14,152.14,146.65,139.43,132.52
174,152.52,174.78,179.74,183.36,184.96,179.04,172.5,172.49,158.66,156.97,149.57,147.61,154.22,146.76,143.56,146.23,147.59,156.28,157.72,156.62,157.74,153.05,146.12,140.09
180,153.49,180.93,186.91,187.59,189.1,183.78,176.77,172.69,158.62,162.05,156.6,152.16,158.1,151.91,151.56,152.54,147.28,158.83,161.02,164.25,163.6,161.01,151.79,143.62
186,157.98,182.24,186.18,189.58,193.59,186.73,184.42,179.52,164.26,162.76,160.99,156.3,163.57,156.2,155.55,160.1,148.28,162.35,165.57,163.73,168.24,164.26,154.71,149.13
192,161.44,183.07,193.68,192.73,195.39,189.57,185.47,178.98,166.05,167.5,166.14,157.23,166.45,159.98,162.39,162.08,152.48,162.72,166.36,170.15,171.58,167.29,158.36,155.47
198,163.96,185.31,194.63,194.28,196.16,193.91,186.07,181.1,169.92,170.81,166.84,162.46,168.45,161.9,164.78,164.32,154.62,164.67,168.22,171.43,174.16,170.97,159.82,155.19
204,163.29,187,195.94,193.76,202.63,197.11,187.27,183.82,168.52,167.99,169.57,162.8,168.34,162.82,164.88,169.71,159.71,165.88,170.44,176.09,175.21,172.88,164.16,158.77
210,165.77,188.95,196.7,198.34,202.38,195.18,192.21,188.2,170.24,171.14,167.11,164.75,172.95,164.29,165.45,170.22,159.26,167.97,170.68,175.07,178.15,174.18,163.51,158.37
216,167.33,191.2,199.47,200.13,201.33,200.01,193,188.01,173,172.56,169.26,165.77,171.04,166.66,169.48,169.01,160.17,169.37,171.84,176.57,178.52,173.57,164.69,159.96
222,166.14,190.96,201.5,200.18,204.8,199.75,193.12,185.22,175.51,174.5,169.98,166.42,171.94,167.54,168.15,170.42,160.12,168.26,171.88,178.6,179.19,175.03,164.19,160.29
