Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,0.0093017,-0.013675,-0.0044209,-0.0074853,-0.0039277,0.0047777,-0.0037063,0.011094,0.013051,-0.012481,-0.010868,-0.019991,0.011168,-0.013444,0.014119,-0.010016,0.019917,-0.0086163,0.051751,0.013237,-0.012314,-0.0082999,-0.0079523,-0.009058
6,0.020254,0.0011646,0.0088069,0.0031363,-0.0063713,0.0079578,-0.010612,0.012391,-0.012122,0.0095368,-0.010118,-0.019422,-0.0068636,-0.0078927,0.010469,0.0073403,0.0193,0.0058729,0.054869,0.013366,-0.012728,-0.01343,0.0059954,-0.0099361
12,-0.002735,-0.0066079,-0.016444,-0.016761,0.0073485,0.0098777,0.019323,0.0096987,-0.0078454,-0.0025535,-0.01007,-0.0062614,0.0090056,0.0098875,0.011386,0.0089653,-0.005975,0.0057089,0.00080261,-0.00055873,-0.010074,-0.012157,0.0039713,0.0065598
18,0.012174,0.0053199,-0.01733,0.062507,-0.011061,-0.012079,0.0092172,-0.0049771,-0.015774,-0.011121,-0.014819,-0.0094338,-0.0082797,-0.0059522,0.0075134,-0.0078195,-0.0058084,-0.001902,-0.0099336,0.0031178,0.009506,0.0057751,0.0055964,-0.01645
24,0.01097,-0.0066355,-0.014358,0.020592,-0.015208,-0.012638,-0.0063179,0.010668,0.0058854,-0.014821,-0.0087951,-0.013247,0.013942,-0.012034,0.008945,-0.011949,0.0158,0.009327,0.0080196,-0.0038046,-0.015358,-0.0084139,0.0012845,-0.012075
30,0.0055816,-0.010021,-0.012104,0.018855,-0.014236,-0.007928,-0.0055137,0.0041155,0.004898,0.0061541,-0.011015,-0.010576,0.013229,-0.010527,-0.012431,-0.0063687,0.013949,-0.0141,0.0058124,0.005956,-0.0057375,-0.012746,0.010903,0.0039091
36,0.010947,0.0058788,-0.016216,0.0089301,-0.015462,-0.006689,0.012795,0.0074379,0.01266,0.012819,-0.0119,-0.010282,0.017996,0.010283,0.0092011,0.0055444,0.0071614,0.015741,-0.015141,-0.0025623,-0.0094182,-0.011456,0.011137,-0.0042473
42,-0.0089603,-0.0057246,-0.012815,-0.0051402,-0.0059029,-0.002085,0.003281,-0.012186,-0.010192,0.0067882,0.0038793,-0.012936,0.0068017,0.012893,0.011214,0.011689,-0.012401,0.0098947,-0.0060769,-0.0058382,0.0075862,0.01353,0.0052566,-0.0084044
48,-0.0092823,-0.0098531,-0.008648,-0.0086602,-0.011956,0.0074833,0.003466,0.0031335,-0.0071291,0.0087377,0.0079332,0.0082483,-0.013331,-0.008751,0.0088462,0.011074,-0.016568,-0.011838,-0.0054495,0.010025,0.0077284,0.015932,0.0073561,-0.0087205
54,0.011163,0.0067587,0.0043351,-0.0038763,-0.0041492,0.0093415,0.0067605,-0.009741,-0.011723,-0.01254,-0.012717,-0.0075455,0.0011083,-0.0068406,-0.01372,0.0048657,-0.016164,0.0092442,-0.0088832,0.0074318,-0.0034565,0.0091999,0.0066701,0.011607
60,0.0092358,-0.007885,-0.0046403,-0.0027329,0.012021,0.0051607,0.012295,0.0039961,0.014501,-0.0068157,0.014291,0.0023976,0.0070725,0.012945,0.0082984,0.0050589,-0.010172,-0.0094268,0.011149,-0.0086332,0.0081381,0.011095,0.014937,0.015212
66,-0.0043575,0.0061427,-0.0040522,0.011924,0.0090978,-0.0086082,-0.010497,-0.0085409,-0.017714,0.0082705,-0.0062699,-0.0092081,0.0028394,-0.0055595,-0.0047232,0.011649,-0.0035817,-0.010016,-0.012022,0.011825,0.0097202,0.0051178,-0.0065619,0.0086807
72,-0.0095279,0.0070037,0.008179,0.008815,-0.0092693,0.0034171,-0.009511,0.0065412,0.0047388,0.0095807,0.010147,0.0043615,-0.0018685,-0.0099774,0.0078661,-0.014485,-0.0080829,-0.0069815,0.010967,-0.010751,0.012558,0.0072327,0.014022,0.0030513
78,0.015364,0.0058717,0.011694,0.0082356,-0.0092287,0.0092198,-0.0083738,0.0086067,-0.0094136,-0.011943,0.0021052,0.012653,-0.0055501,-0.0039814,0.011696,-0.0082842,0.023011,0.012632,0.010714,0.0066979,-0.013466,-0.0143,-0.0091639,-0.0036521
84,0.011819,0.0087713,-0.0082892,-0.0093501,0.0037576,-0.0055347,0.0073757,0.0018516,0.016837,0.011239,-0.010814,-0.0056524,-0.011595,0.0039322,0.006095,-0.009501,0.012901,0.007067,-0.012433,-0.010272,-0.01217,-0.0094551,-0.013941,-0.0039054
90,-0.011637,-0.0023928,-0.006215,0.0072554,-0.0037898,0.0058036,0.002725,-0.006374,0.0074885,-0.008097,-0.0070082,-0.0045207,-0.009109,-0.0095942,-0.0066324,-0.0032129,0.014687,0.012648,0.0042095,-0.0084405,0.0069089,0.0014639,0.00085441,0.0042853
96,0.0025856,-0.0054394,0.0046707,0.0081614,0.0084717,-0.0059806,0.012247,0.010609,0.0073624,-0.0083691,-0.0061929,0.0032817,0.012147,-0.010602,-0.0091334,-0.0053528,-0.012404,-0.0055077,0.0033401,-0.0090847,-0.012525,-0.017555,-0.014794,0.0069698
102,-0.013817,-0.008456,0.0074593,0.003364,0.0071738,0.010529,0.0072773,0.0078097,0.0053791,0.013238,-0.0075876,0.010474,-0.0061792,-0.0038917,-0.006044,0.0076402,-0.006651,-0.013994,-0.007775,-0.0063976,0.0094654,0.0052297,0.012917,-0.015847
108,0.003193,0.0074139,0.0091874,-0.014385,0.0039777,-0.016318,-0.014617,0.0061114,0.006253,-0.010111,0.0085683,-0.0034525,0.014646,0.011832,-0.011584,-0.0097426,0.012553,0.0071694,0.01081,0.013564,-0.0086474,-0.012272,-0.013164,-0.0095562
114,0.011938,-0.0061932,-0.0069511,-0.0053538,-0.0094472,-0.011409,-0.0096756,0.0067202,-0.0090819,-0.0086728,-0.0054559,0.0065731,0.0092369,-0.011737,0.0096574,0.013913,0.012477,0.0043932,-0.0095075,-0.0096697,-0.0069456,-0.010635,0.011464,-0.0023253
120,-0.0084861,0.012252,0.01268,0.0053046,0.0091912,-0.0059182,0.012741,0.014023,0.0038471,0.0050764,-0.011358,0.0067905,0.0078482,-0.0015284,0.0079799,-0.0048613,0.017586,0.010734,0.015864,0.010085,0.0061539,-0.0041223,0.011372,-0.010472
126,0.015939,0.015874,0.016243,0.0050811,0.016249,0.014249,0.01688,0.015724,0.010035,-0.0040504,-0.014506,-0.0078366,0.017757,0.011774,0.016206,0.011803,-0.010603,0.0031581,0.017003,0.010178,0.012735,0.017153,0.016429,-0.013302
132,0.04517,0.043335,0.043283,0.04191,0.043484,0.041515,0.039441,0.042236,0.039271,0.038496,0.033513,0.033968,0.034921,0.035726,0.034168,0.036662,0.041693,0.038483,0.040692,0.038504,0.039023,0.036925,0.035656,0.032802
138,0.056699,0.057128,0.055475,0.052978,0.055029,0.053731,0.052028,0.052687,0.050298,0.05299,0.049599,0.045014,0.049487,0.046694,0.049132,0.047996,0.052509,0.050482,0.052619,0.050744,0.051558,0.049512,0.052337,0.046772
144,0.065683,0.063888,0.061216,0.061192,0.063144,0.061039,0.060117,0.06088,0.062821,0.059184,0.055939,0.05184,0.058194,0.056149,0.055604,0.056756,0.063066,0.060683,0.060304,0.058342,0.060129,0.056933,0.058975,0.056089
150,0.069094,0.069379,0.065359,0.065803,0.068301,0.06779,0.06552,0.066844,0.069228,0.066642,0.061495,0.062162,0.063216,0.06208,0.061033,0.062314,0.069003,0.066074,0.066997,0.066601,0.065295,0.063846,0.06515,0.062025
156,0.075244,0.075347,0.07491,0.072862,0.073449,0.073024,0.072644,0.071477,0.072908,0.070622,0.066103,0.068342,0.069352,0.067223,0.066378,0.069975,0.073739,0.073035,0.072371,0.070981,0.070244,0.070111,0.070934,0.067414
162,0.082068,0.081733,0.081518,0.078605,0.079097,0.077976,0.077299,0.078008,0.080238,0.077138,0.074405,0.073245,0.075122,0.074392,0.072644,0.072307,0.079107,0.079946,0.077551,0.076493,0.075137,0.075446,0.075884,0.073
168,0.086011,0.086981,0.08489,0.08398,0.084469,0.084186,0.08272,0.08257,0.085673,0.08336,0.08005,0.077623,0.08076,0.079579,0.077553,0.078774,0.084582,0.08312,0.082836,0.081152,0.081625,0.080208,0.081048,0.079278
174,0.088904,0.088505,0.088349,0.088666,0.088538,0.088108,0.088141,0.088445,0.088635,0.088028,0.084968,0.084645,0.086715,0.084932,0.082931,0.081135,0.089063,0.088831,0.087435,0.085133,0.085384,0.085023,0.083903,0.083703
180,0.090086,0.091897,0.091823,0.090518,0.089869,0.090175,0.08936,0.088963,0.089003,0.088839,0.089405,0.0872,0.088386,0.087239,0.088065,0.085484,0.089579,0.091145,0.089269,0.090246,0.088484,0.088831,0.088737,0.085047
186,0.091876,0.092223,0.09155,0.091321,0.092364,0.09162,0.093247,0.092285,0.091716,0.090123,0.090572,0.0908,0.091637,0.090085,0.089432,0.090928,0.0894,0.093239,0.09121,0.08965,0.089023,0.09022,0.091241,0.089077
192,0.093686,0.093387,0.094265,0.093318,0.093456,0.092028,0.094028,0.092292,0.092416,0.093697,0.094062,0.090839,0.093015,0.09192,0.092451,0.092151,0.092594,0.092798,0.092549,0.093081,0.090643,0.091415,0.093092,0.091576
198,0.095325,0.094262,0.095075,0.093866,0.094379,0.094728,0.094099,0.093444,0.095046,0.095239,0.093922,0.093713,0.093908,0.093588,0.0947,0.093309,0.094498,0.094544,0.094094,0.093547,0.093346,0.093645,0.093223,0.092804
204,0.095055,0.095965,0.096091,0.094387,0.096818,0.096514,0.094805,0.094747,0.093197,0.093902,0.096112,0.093147,0.093192,0.094714,0.09472,0.096101,0.096966,0.09525,0.094822,0.096362,0.094205,0.095116,0.096089,0.094074
210,0.09689,0.096083,0.096528,0.096633,0.096057,0.096177,0.097309,0.096969,0.096343,0.095827,0.094599,0.095265,0.096838,0.094981,0.095951,0.095848,0.096039,0.096012,0.095131,0.095018,0.095942,0.095938,0.095534,0.094808
216,0.09747,0.096944,0.098097,0.097298,0.096004,0.097579,0.097772,0.09639,0.096469,0.096597,0.096501,0.096289,0.09498,0.096712,0.097648,0.096275,0.097023,0.097403,0.096206,0.097296,0.095781,0.096098,0.097088,0.095129
222,0.097053,0.097918,0.098901,0.097894,0.097541,0.09777,0.09696,0.095581,0.097412,0.097074,0.096303,0.097801,0.096829,0.096902,0.096459,0.096656,0.097168,0.095875,0.096505,0.096989,0.096706,0.09691,0.096539,0.097232
228,0.097551,0.09669,0.098071,0.098109,0.096511,0.098868,0.098055,0.09675,0.098128,0.098433,0.097779,0.098152,0.096744,0.097617,0.09715,0.097881,0.097555,0.096897,0.095979,0.09784,0.097042,0.096567,0.097959,0.095867
234,0.097586,0.096665,0.098731,0.097409,0.099037,0.098129,0.097678,0.099275,0.097397,0.098949,0.097627,0.096423,0.098582,0.096612,0.098553,0.098593,0.097863,0.09839,0.099142,0.098029,0.097301,0.097928,0.09554,0.098535
240,0.09685,0.097531,0.098576,0.096347,0.09805,0.097552,0.098147,0.097846,0.097804,0.10111,0.097279,0.09921,0.09719,0.099233,0.097717,0.098024,0.099618,0.098896,0.098784,0.098741,0.098025,0.098539,0.096585,0.098547
246,0.097981,0.098776,0.097777,0.098535,0.098223,0.09851,0.097486,0.099047,0.09802,0.097289,0.097315,0.097516,0.097451,0.098517,0.09964,0.098276,0.099527,0.097557,0.098393,0.098897,0.097932,0.0985,0.097798,0.097618
252,0.097594,0.098055,0.09773,0.098589,0.098619,0.098208,0.098046,0.098279,0.099102,0.098285,0.098474,0.098629,0.099357,0.099308,0.099521,0.099402,0.098781,0.098361,0.098374,0.098915,0.098245,0.09955,0.097532,0.097956
258,0.097557,0.098827,0.097504,0.098343,0.098696,0.09931,0.097695,0.098018,0.09901,0.099682,0.09936,0.097058,0.099614,0.099355,0.099478,0.09976,0.0996,0.098419,0.098617,0.098173,0.099204,0.099965,0.097891,0.098797
264,0.099133,0.09741,0.098743,0.098074,0.097302,0.098754,0.098478,0.097432,0.099383,0.098837,0.099971,0.10017,0.099063,0.098629,0.099085,0.099469,0.098828,0.10004,0.099749,0.098664,0.099754,0.099274,0.099478,0.099615
270,0.096853,0.097278,0.097193,0.098721,0.098049,0.097603,0.097656,0.098351,0.1005,0.099276,0.10014,0.098819,0.09855,0.099848,0.099876,0.099749,0.098673,0.09693,0.098996,0.099684,0.098819,0.098036,0.098471,0.099996
276,0.097017,0.097204,0.097703,0.097673,0.097861,0.098879,0.098629,0.097792,0.10078,0.098999,0.10061,0.099609,0.099879,0.10024,0.098858,0.099805,0.096467,0.099732,0.099226,0.09946,0.099303,0.099732,0.099854,0.098229
282,0.096363,0.097127,0.09773,0.097448,0.097214,0.097512,0.098659,0.096182,0.099272,0.098366,0.10089,0.098067,0.09958,0.10033,0.10015,0.098375,0.099031,0.099012,0.098535,0.098625,0.097685,0.09805,0.099524,0.098409
288,0.098314,0.09815,0.096783,0.096678,0.098152,0.096243,0.098571,0.097631,0.099598,0.10041,0.1001,0.099891,0.099371,0.10112,0.09889,0.10092,0.098882,0.099835,0.099639,0.097906,0.09857,0.098589,0.10076,0.099025
294,0.097567,0.097467,0.097018,0.098374,0.097915,0.097682,0.099109,0.098329,0.10164,0.10027,0.10064,0.10179,0.10004,0.099706,0.10009,0.099661,0.098213,0.098273,0.099155,0.098971,0.099461,0.099017,0.099357,0.098475
300,0.09828,0.095824,0.096291,0.097793,0.096816,0.097232,0.099191,0.097586,0.09985,0.099083,0.099928,0.099258,0.10082,0.10126,0.10017,0.10172,0.099028,0.099347,0.098866,0.098458,0.097958,0.098332,0.09955,0.098967
306,0.097922,0.097842,0.098121,0.098012,0.097352,0.097893,0.09789,0.099175,0.098827,0.10015,0.10026,0.099771,0.099311,0.10006,0.10044,0.10077,0.099727,0.098405,0.099341,0.098559,0.099414,0.098653,0.098671,0.099052
312,0.097905,0.098167,0.097246,0.099023,0.099071,0.097225,0.098754,0.0969,0.10017,0.10036,0.10144,0.098812,0.10001,0.10077,0.10048,0.099996,0.098757,0.099638,0.099547,0.099724,0.099829,0.099435,0.099449,0.098807
318,0.097264,0.099509,0.099122,0.099126,0.098397,0.097511,0.099221,0.097668,0.10138,0.10098,0.10094,0.099918,0.099915,0.10014,0.10114,0.10102,0.099856,0.099662,0.099021,0.099947,0.099565,0.099467,0.1003,0.099617
324,0.098329,0.099282,0.099338,0.09911,0.099394,0.098654,0.09886,0.099456,0.10019,0.10123,0.10146,0.09984,0.10163,0.10171,0.10048,0.099731,0.098877,0.099398,0.098152,0.10003,0.10009,0.098892,0.098295,0.099167
330,0.099271,0.099416,0.10048,0.099218,0.099654,0.098682,0.099295,0.10068,0.10121,0.10058,0.099024,0.10116,0.10013,0.09894,0.1004,0.10075,0.098826,0.10052,0.10037,0.10014,0.09962,0.10049,0.09912,0.10116
336,0.099354,0.10036,0.10027,0.099202,0.10062,0.10005,0.10055,0.099677,0.10006,0.10106,0.10118,0.10153,0.1002,0.099388,0.10098,0.099701,0.1001,0.10033,0.099773,0.099911,0.10052,0.10089,0.098424,0.099446
342,0.099761,0.10196,0.10045,0.10107,0.099485,0.10062,0.10024,0.099709,0.10026,0.1003,0.10184,0.10066,0.1008,0.10171,0.10172,0.10009,0.10102,0.10152,0.10045,0.099419,0.10015,0.10165,0.10166,0.10088
348,0.10101,0.10176,0.099394,0.10108,0.099902,0.10169,0.10044,0.10042,0.10057,0.10109,0.10015,0.10042,0.098929,0.10057,0.10042,0.1006,0.10065,0.10007,0.10016,0.10106,0.09956,0.10045,0.10109,0.098901
354,0.10222,0.10096,0.10072,0.10082,0.10107,0.10066,0.1007,0.10215,0.10198,0.1006,0.10101,0.10071,0.10086,0.10081,0.10042,0.10171,0.099864,0.10113,0.10158,0.10102,0.10153,0.10154,0.099815,0.1022
360,0.10138,0.10128,0.10054,0.10145,0.10051,0.10156,0.10008,0.10081,0.10192,0.10145,0.10129,0.10094,0.10142,0.10063,0.098034,0.10087,0.10058,0.099265,0.099696,0.099692,0.099861,0.099422,0.10064,0.10134
366,0.10231,0.10204,0.10041,0.10179,0.10199,0.10062,0.099932,0.1019,0.10044,0.1001,0.099247,0.10185,0.10151,0.10094,0.10021,0.10045,0.09991,0.1019,0.10039,0.1011,0.10147,0.10041,0.10136,0.098088
372,0.10102,0.101,0.10168,0.10159,0.10192,0.10188,0.10112,0.10173,0.10089,0.10012,0.1012,0.10205,0.10246,0.10007,0.1011,0.1003,0.10136,0.10154,0.10196,0.10216,0.10101,0.10086,0.10235,0.10183
378,0.10104,0.10265,0.10125,0.10157,0.10254,0.10045,0.10076,0.10193,0.10056,0.10151,0.10104,0.10317,0.10088,0.10174,0.10129,0.10271,0.101,0.1004,0.10074,0.10212,0.10215,0.1019,0.10184,0.10141
384,0.10292,0.10218,0.10107,0.10209,0.10237,0.10067,0.10174,0.10237,0.10061,0.10208,0.10145,0.10109,0.10157,0.10079,0.1001,0.10095,0.10163,0.10178,0.10126,0.10058,0.10039,0.1012,0.10251,0.1017
390,0.10401,0.1026,0.10237,0.1017,0.10218,0.10257,0.10281,0.1039,0.10254,0.099315,0.10013,0.1015,0.10159,0.10121,0.10135,0.10178,0.1023,0.10203,0.10139,0.10208,0.10127,0.10116,0.1018,0.10219
396,0.096354,0.097856,0.097573,0.097366,0.096687,0.097485,0.097701,0.097045,0.097915,0.099199,0.10057,0.099677,0.10015,0.10041,0.099452,0.098543,0.10019,0.099319,0.10059,0.099649,0.10133,0.10129,0.1013,0.1014
402,0.10608,0.10557,0.10589,0.1062,0.10451,0.10434,0.10546,0.10574,0.099858,0.097998,0.099507,0.10059,0.099926,0.098681,0.10043,0.099666,0.1037,0.10303,0.10553,0.10309,0.10391,0.10313,0.10301,0.10301
408,0.10366,0.10503,0.10486,0.10435,0.10467,0.10347,0.1045,0.10414,0.099513,0.099731,0.099818,0.10172,0.10161,0.10003,0.10071,0.10057,0.1014,0.1024,0.10366,0.1027,0.10315,0.10266,0.10201,0.10285
414,0.10543,0.10472,0.10467,0.10317,0.10429,0.10548,0.10352,0.10462,0.10096,0.10044,0.10079,0.10093,0.1016,0.10048,0.10127,0.10055,0.10277,0.10307,0.10192,0.10235,0.10263,0.10154,0.10265,0.10262
420,0.10624,0.10348,0.1044,0.10367,0.10445,0.10469,0.1037,0.10401,0.10067,0.1017,0.10088,0.10017,0.10202,0.10171,0.10091,0.1005,0.10325,0.10244,0.10229,0.10206,0.10312,0.10195,0.10191,0.10252
