Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,15.877,-26.54,-8.9315,-15.349,-8.1607,9.6862,-7.2486,21.219,23.045,-22.156,-18.94,-34.334,19.85,-23.024,24.436,-17.596,32.507,-14.852,92.086,24.04,-22.732,-14.919,-13.516,-14.959
6,34.571,2.2603,17.792,6.4312,-13.238,16.133,-20.754,23.701,-21.405,16.93,-17.632,-33.356,-12.199,-13.517,18.119,12.895,31.5,10.123,97.634,24.275,-23.495,-24.14,10.19,-16.409
12,-4.6683,-12.825,-33.221,-34.37,15.268,20.026,37.79,18.55,-13.854,-4.533,-17.55,-10.754,16.006,16.934,19.706,15.75,-9.7516,9.8404,1.4282,-1.0148,-18.596,-21.853,6.7498,10.833
18,20.78,10.325,-35.012,128.17,-22.982,-24.488,18.027,-9.5196,-27.853,-19.741,-25.826,-16.202,-14.716,-10.194,13.003,-13.737,-9.4797,-3.2785,-17.676,5.6624,17.548,10.381,9.5119,-27.166
24,18.725,-12.878,-29.007,42.226,-31.599,-25.621,-12.356,20.404,10.393,-26.31,-15.328,-22.75,24.779,-20.609,15.481,-20.991,25.787,16.077,14.27,-6.9099,-28.351,-15.124,2.1832,-19.941
30,9.5271,-19.448,-24.453,38.664,-29.578,-16.073,-10.783,7.8716,8.6491,10.925,-19.196,-18.163,23.512,-18.028,-21.514,-11.189,22.766,-24.304,10.343,10.817,-10.591,-22.911,18.532,6.4556
36,18.685,11.41,-32.761,18.312,-32.126,-13.561,25.023,14.226,22.355,22.756,-20.739,-17.659,31.985,17.611,15.924,9.7405,11.688,27.133,-26.942,-4.6537,-17.386,-20.593,18.93,-7.0142
42,-15.294,-11.11,-25.89,-10.54,-12.264,-4.2271,6.4169,-23.308,-17.998,12.05,6.7607,-22.216,12.089,22.081,19.407,20.535,-20.239,17.055,-10.813,-10.603,14.004,24.321,8.9342,-13.879
48,-15.844,-19.123,-17.471,-17.758,-24.841,15.171,6.7787,5.9935,-12.589,15.511,13.826,14.166,-23.694,-14.987,15.31,19.455,-27.04,-20.406,-9.6968,18.207,14.266,28.638,12.503,-14.401
54,19.055,13.117,8.7581,-7.9486,-8.6209,18.939,13.222,-18.631,-20.701,-22.261,-22.163,-12.959,1.9698,-11.715,-23.746,8.5481,-26.38,15.934,-15.807,13.498,-6.3807,16.537,11.337,19.168
60,15.764,-15.303,-9.3747,-5.604,24.976,10.463,24.045,7.6434,25.605,-12.099,24.906,4.1178,12.57,22.17,14.362,8.8875,-16.601,-16.249,19.838,-15.68,15.023,19.943,25.387,25.122
66,-7.4377,11.922,-8.1866,24.451,18.903,-17.452,-20.529,-16.336,-31.279,14.682,-10.927,-15.814,5.0465,-9.5213,-8.1745,20.466,-5.8456,-17.264,-21.392,21.476,17.943,9.1994,-11.153,14.336
72,-16.263,13.593,16.524,18.076,-19.259,6.9278,-18.601,12.511,8.3679,17.008,17.683,7.4907,-3.3208,-17.088,13.614,-25.447,-13.192,-12.034,19.515,-19.525,23.182,13.001,23.832,5.0391
78,26.225,11.396,23.625,16.888,-19.175,18.692,-16.377,16.462,-16.623,-21.201,3.6689,21.73,-9.8643,-6.8187,20.242,-14.554,37.556,21.774,19.064,12.165,-24.858,-25.704,-15.575,-6.0312
84,20.174,17.023,-16.746,-19.173,7.8073,-11.221,14.425,3.5416,29.731,19.951,-18.846,-9.7076,-20.609,6.7344,10.549,-16.691,21.056,12.181,-22.123,-18.655,-22.465,-16.996,-23.695,-6.4496
90,-19.864,-4.6439,-12.556,14.878,-7.874,11.766,5.3294,-12.191,13.223,-14.374,-12.214,-7.764,-16.19,-16.431,-11.479,-5.6444,23.971,21.8,7.4904,-15.33,12.754,2.6314,1.4522,7.0769
96,4.4133,-10.557,9.4362,16.736,17.602,-12.125,23.952,20.291,13.001,-14.857,-10.793,5.6361,21.589,-18.157,-15.807,-9.4039,-20.244,-9.4935,5.9433,-16.5,-23.12,-31.555,-25.144,11.51
102,-23.584,-16.411,15.07,6.8981,14.905,21.346,14.232,14.938,9.4986,23.5,-13.223,17.988,-10.982,-6.665,-10.46,13.422,-10.855,-24.121,-13.835,-11.619,17.473,9.4005,21.955,-26.171
108,5.4502,14.389,18.561,-29.498,8.2644,-33.083,-28.587,11.689,11.042,-17.949,14.932,-5.9295,26.03,20.264,-20.049,-17.116,20.488,12.358,19.236,24.635,-15.963,-22.058,-22.374,-15.782
114,20.376,-12.02,-14.043,-10.978,-19.629,-23.131,-18.923,12.854,-16.037,-15.396,-9.5082,11.289,16.417,-20.101,16.714,24.442,20.364,7.5724,-16.918,-17.562,-12.822,-19.116,19.484,-3.8401
120,-14.485,23.778,25.618,10.877,19.097,-11.998,24.917,26.822,6.7933,9.0116,-19.795,11.662,13.949,-2.6176,13.811,-8.5403,28.703,18.503,28.228,18.316,11.36,-7.4099,19.329,-17.294
126,27.206,30.807,32.815,10.419,33.762,28.888,33.014,30.076,17.72,-7.1902,-25.28,-13.459,31.56,20.164,28.048,20.735,-17.305,5.4435,30.256,18.485,23.509,30.833,27.923,-21.968
132,77.1,84.105,87.443,85.939,90.347,84.166,77.137,80.784,69.346,68.337,58.405,58.338,62.065,61.185,59.134,64.409,68.046,66.333,72.408,69.93,72.036,66.374,60.601,54.17
138,96.779,110.87,112.07,108.63,114.33,108.93,101.75,100.77,88.817,94.067,86.438,77.308,87.953,79.969,85.034,84.32,85.699,87.016,93.629,92.16,95.176,88.998,88.954,77.241
144,112.11,123.99,123.67,125.48,131.2,123.75,117.57,116.44,110.93,105.06,97.488,89.033,103.43,96.163,96.234,99.709,102.93,104.6,107.3,105.96,111,102.34,100.23,92.628
150,117.94,134.65,132.04,134.93,141.91,137.44,128.14,127.85,122.25,118.3,107.17,106.76,112.35,106.32,105.63,109.47,112.62,113.89,119.21,120.96,120.53,114.76,110.73,102.43
156,128.43,146.23,151.34,149.41,152.61,148.05,142.07,136.71,128.74,125.37,115.2,117.37,123.26,115.13,114.88,122.93,120.35,125.89,128.78,128.92,129.67,126.03,120.56,111.33
162,140.08,158.63,164.69,161.19,164.34,158.09,151.18,149.2,141.69,136.93,129.67,125.79,133.51,127.41,125.73,127.03,129.11,137.8,137.99,138.93,138.7,135.61,128.98,120.55
