Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,579.16,566.13,503.53,498.09,490.04,495.09,493.3,539.5,548.47,527.4,518.34,531.11,525.35,506.58,531.65,534.6,505.21,488.53,484.33,474.06,471.01,478.56,493.18,479.05
4,581.86,568.6,504.7,503.92,494.8,496.76,496.72,543.63,549.81,530.42,524.07,533.72,531.38,507.65,538.15,540.79,507.93,493.6,490.85,479.02,479.88,482.47,500.57,483.45
7,586.21,567.82,508.42,500.89,492.32,495.1,495.59,540.87,551.09,530.79,523.37,529.93,527.16,510.08,534.36,539.89,507.38,493.75,491.23,476.99,474.77,478.42,497.54,479.06
11,585.76,571.7,506,502.1,494.52,497.69,496.19,542.6,553.84,532.12,522.46,531.8,528.71,508.92,535.11,541.8,511.34,492.36,488.88,478.84,477.86,483.59,499.39,482.14
14,585.28,569.31,511.29,500.85,491.7,497.77,493.73,543.59,553.43,530.93,525.57,534.87,530.12,511.14,535.56,538.83,507.99,493.62,490.8,481.35,479.7,487.38,504.86,481.83
18,583.89,571.88,509.68,504.81,497.49,496.32,492.17,543.03,553.22,532.31,517.79,532.54,530.5,510.66,534.48,540.31,512.6,492.73,492.58,478.12,479.3,480.72,499.69,483.86
21,587.27,570.85,508.55,500.4,492.61,496.92,496.34,543.74,555.26,530.63,521.78,533.09,528.55,510.21,534.47,543.79,510.04,493.41,489.91,474.89,476.66,483.13,501.48,483.47
25,584.68,568.38,508.35,500.81,493.61,497.22,497.34,542.78,551.54,532.23,521.18,534.52,528.49,510.55,535.47,540.06,511.72,492.34,491.06,479.33,477.39,483.98,501.33,483.73
28,586.58,568.99,510.34,503.36,493.92,497.3,496.37,545.48,551.46,530.99,521.7,533.51,528.98,508.22,536.65,541.7,513.85,491.2,491.02,480.16,480.55,486.06,501.72,483.23
32,584.33,571.37,510.03,501.88,495.41,494.44,494.12,542.08,555.16,531.22,524.61,536.4,530.03,508.13,535.83,540.46,511.41,489.93,492.56,478.29,476.1,483.32,499.06,479.32
36,582.88,567.11,505.8,498.75,493.82,495.4,494.23,541.95,552.93,530.74,523.29,531.76,527.9,507.82,534.28,538.54,507.74,491.63,487.91,476.94,477.31,481.67,497.99,479.85
39,587.47,570.74,510.12,502.08,497.86,497.63,495.96,545.17,554.04,532.57,525.26,535.79,529.5,511.29,535.32,541.75,511.62,491.64,492.91,480.51,477.57,486.07,502.42,482.87
43,586.12,571,506.91,503.69,494.38,496.87,497,543.08,551.62,530.68,521.89,533.68,527.04,508.55,532.78,538.72,510.17,490.86,491.02,477.69,477.28,482.63,498.27,480.97
46,571.3,555.59,494.77,487.11,481.95,483.5,483.28,526.6,535.32,515.35,505.23,517.46,512.4,495.36,520.32,523.75,492.62,475.73,470.68,461.1,459.74,466.04,484.72,465.59
50,577.88,560.6,500.02,491.58,485.4,486.71,490.52,532.37,539.51,520.64,512.33,523.23,518.64,496.6,524.96,530.77,497.8,478.96,481.19,463.3,464.05,471.09,487.09,470.26
53,646.81,628.06,567.09,561.02,553.93,556.52,554.41,602.77,605.57,589.56,582.93,592.99,586.76,566.47,591.94,603.15,561.59,545.55,546.54,531.4,531,536.86,556.62,535.55
57,573.03,557.8,497.37,492.57,476.48,477.89,473.65,526.66,533.53,511.93,504.82,512.95,498.39,483.32,516.48,530.76,487.29,471.22,468.55,453.24,455.71,470.27,502.65,499.57
60,572.92,559.19,498.5,491.77,486.65,487.94,488.18,533.2,545.12,525.14,514.38,526.71,522.23,504.43,530.28,531.8,501.77,483.07,482.19,473.43,472.29,477.32,496.03,484.77
64,588.26,569.37,507.72,501.91,492.76,493.48,498.43,542.1,551.23,531.51,524.2,531.92,529.8,512.83,541.59,540.15,509.78,491.99,495.79,479.55,479.11,484.88,501.01,487.62
