Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,-2.4941,-2.1597,-1.5087,1.3805,2.0694,2.6449,-2.7393,-1.7578,-1.5191,-0.92555,-3.0376,2.512,-0.73005,3.726,-5.9213,1.9713,-5.4934,3.1165,1.9947,-2.6403,5.4831,2.161,1.8402,2.5661
4,-0.70269,2.5994,-1.6349,-1.5164,-2.421,1.2705,-1.9413,-2.8111,5.2178,-1.7022,-2.9263,0.62569,1.8706,-1.3082,3.3606,2.789,4.4128,2.3336,-2.1338,-1.4359,-2.7978,1.0282,2.0927,-3.7484
7,-2.1951,0.89031,1.2996,-3.2474,0.83356,-1.9776,2.5111,-0.45154,5.1023,-2.9117,5.2301,7.2682,3.4409,1.5548,-8.7296,-1.4213,-5.2926,-4.3349,-2.1927,2.2598,-3.99,1.7609,1.6161,-2.9131
11,-1.3971,2.6255,1.1647,1.6807,-0.13365,1.0976,-1.8636,1.1964,-1.7408,-1.8542,0.8034,-3.8583,-1.3761,-2.9449,18.196,1.5162,-4.1062,3.5913,-0.96519,2.002,-2.6544,-2.0245,-1.7211,-2.5628
14,0.92096,2.2079,2.7367,2.9158,2.7438,1.5136,-1.572,-1.0763,2.9265,-2.0347,-4.0991,-3.0829,0.45479,4.1188,-6.5247,-2.0349,5.1686,4.5111,4.0259,-3.8891,-2.7857,-3.2608,0.81965,-2.2043
18,-1.9872,2.2921,-1.7915,-2.3423,-2.1811,-2.3091,2.9228,-0.98072,-0.067129,-1.5544,-4.3824,1.8711,-2.2988,0.99559,-4.5942,2.5889,-4.9286,3.0434,-2.0014,-3.6333,-2.9737,-1.0413,3.5973,1.5657
21,-1.9854,-2.2955,0.65271,-2.6539,-1.1877,-2.0997,1.2932,-1.0997,-2.29,-1.3726,-4.2377,-1.4329,-3.1232,-2.5604,-6.8386,1.667,2.6967,-4.496,1.6926,2.8749,-2.5658,-1.9438,0.87172,2.441
25,1.9602,-3.22,-1.2934,-2.2923,-1.612,-1.2676,-1.1199,-2.5463,2.5451,-1.863,2.2462,-1.1166,1.8592,-0.56372,-5.1063,-2.6769,-5.4674,1.5603,-2.7549,1.9271,6.9406,2.8499,-1.9806,-2.7366
28,-2.9878,-4.6517,-3.0202,-1.725,1.0533,1.2033,-2.7443,-2.0161,3.3047,3.7613,-1.708,1.3684,-1.8156,-2.4009,-4.3073,2.9478,-1.8019,2.858,1.5434,3.3289,-3.9597,0.98276,2.3657,1.1081
32,1.9936,-2.0097,1.8383,-1.9133,-2.0496,1.5063,1.6044,2.2315,2.803,3.0839,4.279,-2.7099,2.8444,-1.3796,-4.6807,-0.9876,8.6132,2.9262,-2.6178,1.5581,-2.5229,1.5119,-2.7483,-0.39563
