Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,-249.78,-470.66,-103.64,238.81,15.817,-32.465,-55.521,-245.51,-38.339,54.009,151.64,118.59,-17.744,160.5,643.22,15.985,31.972,385.09,33.343,-75.315,596.8,25.215,-110.88,40.743
4,-173.31,-346,-109.5,166.07,-155.02,-119.82,-9.5974,-314.15,323.45,21.888,159.13,46.38,32.098,-35.229,1226.9,65.033,631,336.16,-65.23,-34.115,107.61,-12.353,-100.86,-159.23
7,-231.06,-411.1,-45.095,23.44,-44.606,-209.51,114.27,-204.35,308.85,-65.938,564.41,686.11,135.19,16.591,125.18,-58.444,58.099,58.263,-68.174,26.043,3.134,8.8956,-118.7,-105.31
11,-192.78,-344.51,-50.005,254.7,-56.609,-126.47,-5.9663,-181.02,-47.191,13.381,263.04,-140.01,-34.562,-122.59,5253.4,-4.0171,192.63,421.61,-23.391,16.822,117.7,-65.963,-174.96,-86.722
14,-155.39,-366.54,40.547,352.9,70.486,-108.84,6.3548,-217.96,94.849,2.3332,66.161,-74.348,-8.5996,199.17,548.66,-85.17,718.38,507.05,174.63,-143.75,108.48,-133.91,-138.28,-70.156
18,-219.44,-362.41,-117.42,110.95,-136.43,-232.58,141.78,-215.16,-10.125,29.466,39.055,84.318,-76.478,-1.3092,818.94,51.475,102.99,379.93,-58.905,-127.6,94.508,-34.622,-14.463,0.68581
21,-219.35,-477.27,-63.743,84.022,-80.067,-217.59,57.301,-218.69,-74.31,37.84,53.125,16.555,-131.73,-96.025,495.85,2.0299,483.8,41.956,20.472,52.548,123.68,-62.635,-137.39,34.671
25,-115.4,-532.92,-94.734,114.96,-100.07,-172.11,21.316,-293.91,69.28,12.865,312.69,26.393,31.568,-17.738,756.39,-123.29,35.411,301.64,-100.31,14.354,830.56,61.107,-184.65,-95.646
28,-285.92,-655.93,-204.72,154.38,-37.624,-122.52,-55.861,-259.41,123.71,290.14,222.84,64.448,-51.902,-86.093,851.09,76.518,356.89,367.38,14.893,76.186,6.2513,-13.303,-88.578,-11.172
32,-113.64,-463.83,-20.137,142.53,-127.06,-109.19,68.39,-130.42,86.178,217.16,462.36,-47.988,88.847,-37.635,808.84,-45.28,1291.1,371.9,-91.803,3.5612,126.5,0.42169,-221.29,-24.587
36,-160.42,-424.55,-65.017,149.29,-118.12,-97.984,50.838,-193.74,-114.67,71.283,110.55,57.181,-46.479,28.886,353.36,-115.68,73.277,119.84,14.449,-6.7208,948.98,89.63,-313.95,37.764
39,-41.357,-372.72,-21.622,238.01,73.721,-173.13,-101.81,-145.83,-66.222,45.142,18.699,-45.946,-6.4893,-4.4412,2282.1,28.228,89.895,257.64,38.464,-155.56,21.139,17.665,-319.1,37.652
43,-193.59,-392.02,-88.534,298.98,-137.89,-88.327,86.012,-119.38,-72.093,-30.424,319.49,-132.42,-75.205,25.257,545.41,11.385,61.155,317.79,-1.0857,72.532,38.607,-77.131,-56.367,-16.845
46,-192.5,-365.94,-110.84,252.6,-26.742,-119.52,73.591,-228.98,-221.59,67.459,240.07,-3.2802,-2.0141,10.208,552.62,-137.75,867.47,11.367,17.581,-26.478,220.4,54.803,-36.59,-20.947
50,-46.422,-287.02,-69.114,499.24,-11.008,-120.57,21.387,-209.86,-207.57,186.67,652.36,49.841,32.815,-93.018,709.14,-28.856,817.67,402.04,-100.97,-20.514,72.725,-148.46,-81.466,20.696
53,-122.03,-420.29,-106.43,206.74,-110.63,-64.617,57.94,-225.84,30.138,15.191,572.08,-85.949,0.18597,-7.3715,838.71,-118.76,128.06,394.86,-62.72,33.002,793.07,-24.293,-90.087,-32.767
57,-200.16,-394.02,43.146,198.6,83.595,-59.445,93.544,-213.29,-86.672,46.338,227.33,-111.76,121.9,510.7,1115.2,-12.789,833.6,420.76,-71.731,-52.209,49.473,-32.357,-110.24,-29.84
60,1236,385.04,1659.4,2038.5,1973.2,440.81,748.7,475.02,1239.6,652.18,2131.4,1472.1,846.41,890.84,6537.2,1108.6,2176.2,1221.9,1676.6,408.35,2113.7,439.87,337.61,120.01
64,5379.6,2219.2,4904.7,6138.6,5619.5,3218.3,1912.6,1942.7,3098.3,3185.9,3832.2,3977.5,1902.9,2202.4,6351,2587.4,4927.8,3340.7,3003.3,2475.8,3663.4,1611.5,1542.3,1565
67,14106,8119.1,10835,12374,11089,8618.8,4882.5,5786.6,8659.3,7230,6396.2,5176.4,4564.1,5679.6,9000.4,5138.7,8849.5,6939.8,7037.5,6041.8,7050.9,3964.3,3472.5,2817.4
71,25251,15436,21563,22332,19892,16633,10618,11810,14510,13947,11354,11118,9779,9259.3,13063,9987.2,16246,13305,12512,9916.9,12532,7474.4,6659.1,5918.3
74,31848,20424,28627,29983,28189,23714,15721,17146,19068,17636,14380,14936,14515,13335,16234,13013,20812,17828,16743,13481,16420,11031,9180.5,9206
78,36028,25330,33451,36282,33881,29517,19836,21485,22429,21915,17387,18547,18271,15848,19903,16169,25680,22199,20252,16282,21125,13980,12715,12072
81,38488,29066,37481,40625,38165,34877,22543,25571,25924,27012,19797,21409,21732,20312,22083,19734,27440,25658,23806,18434,23156,17336,17342,14802
85,41434,32336,42729,46829,42580,40057,25997,30262,30163,31333,21539,25214,25039,23345,24874,24008,31451,29052,26859,20060,27792,19800,18745,17533
88,42351,34703,46889,52798,50116,45893,31037,35729,35075,38722,25712,31246,31128,27922,29008,25977,34216,31915,31737,23314,30549,23074,21420,19555
92,43947,35450,48738,56537,54838,51415,35105,39811,37735,45049,29429,35736,35747,33016,35388,33583,37028,33860,33640,25412,35163,28911,25217,23939
