Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,-9.114,-7.1351,-5.7972,5.7416,8.4927,10.656,-9.6052,-6.6386,-5.3169,-3.6717,-10.204,8.7743,-2.5667,13.2,-21.011,6.9981,-19.081,10.553,6.7801,-7.6486,19.701,6.9685,5.846,7.9883
4,-2.5678,8.5877,-6.282,-6.3067,-9.9356,5.119,-6.807,-10.616,18.263,-6.753,-9.8298,2.1855,6.5768,-4.6346,11.925,9.9006,15.328,7.9018,-7.2528,-4.1596,-10.053,3.3155,6.6481,-11.669
7,-8.0215,2.9414,4.9937,-13.506,3.4209,-7.9676,8.805,-1.7053,17.858,-11.551,17.569,25.387,12.097,5.5082,-30.976,-5.0453,-18.384,-14.679,-7.453,6.5465,-14.336,5.6781,5.1341,-9.0685
11,-5.1055,8.6742,4.4753,6.9898,-0.54848,4.4221,-6.5349,4.5184,-6.0928,-7.3559,2.6987,-13.477,-4.8379,-10.433,64.566,5.3825,-14.263,12.161,-3.2807,5.7996,-9.5375,-6.5282,-5.4676,-7.9782
14,3.3655,7.2945,10.516,12.126,11.26,6.0983,-5.5121,-4.0646,10.243,-8.072,-13.769,-10.768,1.599,14.592,-23.152,-7.2237,17.953,15.275,13.684,-11.266,-10.009,-10.515,2.6039,-6.8619
18,-7.2617,7.5725,-6.884,-9.7413,-8.9508,-9.3032,10.249,-3.7038,-0.23496,-6.1664,-14.721,6.5356,-8.0822,3.5271,-16.302,9.1904,-17.119,10.306,-6.8028,-10.525,-10.685,-3.358,11.428,4.874
21,-7.2554,-7.584,2.508,-11.037,-4.8742,-8.4596,4.5346,-4.153,-8.015,-5.4453,-14.235,-5.0048,-10.98,-9.0706,-24.266,5.9176,9.367,-15.224,5.7532,8.3284,-9.219,-6.2681,2.7693,7.5987
25,7.1633,-10.638,-4.97,-9.5334,-6.6155,-5.107,-3.9271,-9.6164,8.9078,-7.3909,7.5451,-3.9001,6.5364,-1.9971,-18.119,-9.5026,-18.991,5.2833,-9.364,5.5828,24.938,9.1898,-6.2921,-8.5191
28,-10.918,-15.368,-11.605,-7.1742,4.3226,4.8481,-9.6228,-7.6139,11.566,14.922,-5.7374,4.7797,-6.3832,-8.5055,-15.284,10.465,-6.259,9.6777,5.246,9.6436,-14.227,3.1691,7.5155,3.4494
32,7.2853,-6.6395,7.0637,-7.9573,-8.4112,6.0689,5.626,8.4274,9.8106,12.234,14.374,-9.4653,10,-4.8873,-16.609,-3.5059,29.918,9.9085,-8.8981,4.5138,-9.0648,4.8752,-8.731,-1.2316
36,2.508,-2.1916,2.2397,-7.5206,-7.8617,6.9312,3.755,2.7748,-10.227,1.9474,-12.05,3.9469,-5.9433,6.5295,-27.043,-9.0934,-17.966,-12.405,5.2035,3.1769,27.209,10.629,-12.996,7.7996
39,11.196,6.8578,6.9578,5.6713,11.403,-5.2064,-11.771,7.4569,-7.4935,-4.7275,-15.397,-9.3568,2.1603,3.0509,34.603,7.8241,-17.498,-4.01,7.1478,-11.779,-13.694,6.404,-13.192,7.7924
43,-5.1839,5.2658,-4.3013,9.6508,-9.0323,7.596,7.0195,9.0587,-7.8755,-9.8952,7.9831,-13.192,-8.0031,6.2455,-23.222,6.6613,-18.3,6.6385,3.3973,9.4523,-13.041,-7.3338,9.4177,2.495
46,-5.0778,7.3356,-6.3878,6.8374,5.4375,5.1484,6.0707,-5.2478,-14.544,-0.17877,-3.9605,-6.6995,3.0236,4.8946,-23.067,-10.235,21.712,-16.197,5.4962,-3.1088,3.425,8.8402,10.415,1.4573
50,10.968,11.521,0.95884,17.129,6.7306,5.0457,-3.9181,-2.9022,-14.054,10.917,19.915,2.8701,6.6311,-8.9033,-19.379,2.0328,20.533,11.328,-9.3992,-1.9238,-11.659,-11.185,7.9746,6.6156
53,6.6847,-0.73574,-6.0332,0.9462,-7.3702,9.0227,4.6045,-4.9402,6.3409,-7.2319,17.786,-11.294,3.3678,2.5254,-15.684,-9.2614,-16.371,11.006,-7.0776,7.058,24.174,-0.97333,7.4144,-3.114
57,-5.783,5.0723,10.639,-2.6923,11.828,9.3049,7.5369,-3.442,-8.7523,-4.5992,-5.3318,-12.384,11.535,22.901,5.5228,4.4944,20.917,12.126,-7.6879,-5.9494,-12.617,-3.0019,5.9009,-2.6019
60,37.453,28.369,41.586,42.809,45.05,24.225,26.683,26.009,35.35,24.18,43.308,37.822,29.284,30.076,73.841,33.787,42.192,30.793,41.1,20.62,43.647,21.522,21.97,11.962
64,74.473,51.37,70.532,77.024,75.338,58.003,43.311,46.305,55.753,55.842,59.803,62.737,43.75,47.075,72.569,51.19,67.318,55.38,54.917,49.926,58.777,40.434,41.078,39.851
67,119.47,92.406,104.43,110.31,105.57,93.62,69.612,77.383,93.11,84.632,78.361,71.658,67.641,75.454,88.97,71.914,91.943,81.646,83.965,77.837,82.718,63.147,60.146,53.296
71,159.43,125.92,147.08,148.75,141.24,129.53,102.86,109.6,120.5,117.81,105.35,105.25,98.945,96.297,109.44,100.1,125.9,114.15,111.91,99.668,111.01,86.59,82.487,77.08
74,178.93,144.38,169.4,172.56,168.06,154.47,125.24,131.71,138.12,132.55,118.85,122.04,120.52,115.54,123.08,114.22,142.88,132.49,129.44,116.18,127.32,105.14,96.569,96.068
