Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,329.32,322.88,311.75,304.6,303.03,297.62,296.65,291.82,330.64,316.85,311.66,332.05,312.62,302.09,295.38,294.1,322.77,310.47,430.5,491.73,327.69,286.22,278.96,277.12
6,325.13,322.86,311.81,306.57,302.27,298.53,297.34,293.9,333.26,317.79,313.2,330.93,314.09,304.64,297.56,294.95,321.57,310.71,430.97,491.82,326.1,283.41,279.26,275.41
12,323.91,317.06,320.33,315,295.55,291.23,287.6,285.99,332.81,317.9,312.96,321.13,309.15,299.85,292.76,285.67,321.87,312.72,307.78,305.58,317.65,298.37,287.35,288.45
18,327.8,324.08,328.17,363.74,309.91,298.03,292.76,290.55,328.96,316.79,310.52,318.21,308.64,297.77,289.6,286.21,320.98,311.86,305.16,303.23,302.43,292.87,286.24,288.27
24,327.22,322.69,320.75,351.99,316.46,296.52,296.56,286.69,330.02,317.92,309.45,318.35,308.53,297.3,290.69,287.39,318.32,309.22,304.49,304.25,303.4,294.11,288.63,287.45
30,329,326.52,321.72,356.71,319.88,297.89,295.75,288.37,331.03,316.23,310.18,320.93,307.64,300.3,293.59,286.05,321.08,313.35,306.16,302.69,302.89,292.19,287.93,286.33
36,328.1,323.91,321.88,357.55,320.48,295.68,295.2,289.72,329.04,315.2,311.92,319.84,309.45,298.8,291.58,287.86,321.92,310.18,305.06,303.64,302.18,293.08,285.55,287.61
42,213.16,209.52,210.28,206.65,207.14,206.37,207.44,207.85,211.94,211.75,208.62,207.42,204.62,204.71,205.27,206.82,211.37,208.84,208.11,208.77,206.4,206.8,206.86,207.82
48,212.49,210.13,210.37,207.52,206.5,205.8,205.96,205.64,213.97,207.9,206.65,206.15,206.77,204.79,204.59,206.04,213.13,210.4,209.46,207.72,207.37,204.68,206.64,205.24
54,212.05,208.1,207.17,206.32,208.7,207.37,204.41,206.63,214.3,210.73,206.83,206.89,205.24,204.42,206.16,206,210.26,208.9,206.03,205.28,206.78,205.08,204.96,205.9
60,213.03,210.45,207.73,207.3,206.36,205.63,205.34,205.21,210.11,209.01,205.85,207.04,207.2,204.99,206.3,206.28,211.12,211.1,210.03,207.49,207.54,205.72,204.88,204.55
66,211.6,207.97,208.33,207.53,205.88,205.42,206.82,205.49,211.91,208.98,209.33,207.1,205.26,205.9,204.4,204.8,209.05,209.72,209.23,207.5,204.98,205.77,206.45,204.53
72,213.78,210.95,207.6,207.35,209.02,205.69,206.52,204.98,210.31,210.22,206.57,206.45,207.04,207.64,205.31,207.45,208.55,211.02,206.67,206.95,207.15,204.99,205.38,205.17
78,335.45,330.12,319.03,312.87,309.39,302.5,302.88,299.07,332.54,320.66,311.83,324.65,312.8,300.55,292.42,290.38,326.97,317.13,310.98,312.3,312.02,300.48,293.61,289.96
84,328.94,324.17,310.41,304.56,300.72,297.49,297.82,292.24,329.39,315.59,311.17,321.43,309.06,296.63,290.27,288.13,323.03,311.57,307.01,304.56,304.17,295.3,289.89,287.16
90,328.92,323.48,312,305.86,301.38,298.14,295.27,290.06,333.64,317.16,310.48,322.72,313.3,299.55,291.27,287.12,322.79,311.56,308.44,307.3,303.64,291.66,288.24,288.1
96,330.68,323.06,311.22,302.92,299.44,296.51,294.79,289.41,333.82,315.66,311.99,321.23,311.19,298.58,290.53,289.9,321.26,312.91,305.13,306.29,305.86,295.45,289.04,288.38
102,329.85,323.61,309.26,304.55,299.36,295.69,294.97,291.35,333.73,316.49,311.22,321.51,310.68,299.78,293.2,288.49,322.28,310.7,306.96,305.96,303.78,294.31,288.03,286.53
108,326.52,321.51,310.77,306.58,298.31,294.64,293.53,289.16,336.02,318.05,314.49,323.74,313.13,302.02,291.5,289.8,324.02,313.66,308.2,306.86,306.3,295.71,289.91,291.76
114,320.64,315.34,306.71,295.71,294.67,291.53,291.19,283.78,330.84,316.72,308.59,320.59,310.46,299.36,291.82,287.04,316.4,307.15,302.4,303.21,301.17,291.12,286.88,284.24
120,355.09,353.19,340.96,332.66,328.72,321.24,319.59,311.56,369.53,353.34,346.23,357.28,343.31,329.84,321.48,315.65,353.35,343.47,335.85,333.93,332.18,320.53,315.24,314.3
126,322.63,316.42,305.01,299.29,294.61,291.58,288.53,285.86,326.46,310.02,304.29,313.77,301.81,291.39,282.27,281.29,319.09,306.81,298.33,300.11,299.73,290.14,284.06,284.92
132,330.79,326,312.91,305.34,303.91,299.42,295.9,290.2,331.24,313.57,310.43,321.07,311.41,299.99,293.45,286.58,324.04,311.23,305.33,305.98,302.66,292.62,287.99,289.42
138,330.19,323.13,312.43,306.82,301.29,297.62,296.98,291.4,334.98,316.49,309.97,320.62,307.28,299.84,292.16,288.63,319.57,310.55,303.25,304.75,303.16,292.14,287.1,288.23
144,328.76,323.27,312.78,306.72,301.22,298.83,295.75,290.39,333.8,315.81,310.35,322.98,309.09,298.36,291.27,287.95,321.97,310.26,305.42,303.5,301.58,295.82,287.87,288.64
150,328.16,322.47,312.41,304.3,300.3,294.79,295.54,290.54,332.93,317.88,309.95,321.11,313.76,299.6,289.79,289.77,320.36,310.79,304.31,303.68,301.54,295.09,290,288.75
