Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,-94.579,11.592,48.23,-64.98,-63.174,26.932,-39.256,15.876,-8.2114,-83.266,6.6803,-67.245,29.897,4.5581,-3.8879,54.499,-74.827,-24.328,7959.7,510.5,-251.45,-38.114,-66.779,-59.611
6,68.375,-89.276,81.971,-58.865,53.662,-58.639,21.276,5.5069,100.68,-36.965,-66.984,-158.67,4.5478,-72.213,-14.788,-77.768,-50.857,-24.565,9639.4,537.13,-242.51,-73.037,-52.296,-131.06
12,-13.573,176.16,-60.64,-133.99,7.2617,60.972,178.14,200.17,84.97,28.494,16.19,-157.66,-1.7319,161.93,25.211,32.632,-88.356,31.386,-6.9224,77.075,57.774,-26.852,-12.768,-84.232
18,-51,73.59,-1.8345,20304,-178.55,7.8675,28.175,70.236,69.18,18.031,77.411,-63.047,-16.182,58.125,51.148,-18.03,-82.911,19.709,89.193,-11.143,4.8581,-23.362,24.814,-3.3398
24,58.912,115.54,-111.75,627.13,-49.309,64.387,-6.8224,41.565,64.905,-54.591,32.732,-95.73,-47.645,76.478,-12.46,8.0519,16.404,14.88,-55.444,15.749,48.015,-12.544,-35.147,0.76116
30,-22.008,155.2,-66.583,469.72,-131.38,-38.454,-18.742,-46.86,76.86,-80.161,-17.902,-108.63,21.785,-98.517,-26.932,-17.226,-30.389,-56.739,-64.786,8.5388,232.29,13.049,-47.668,-73.627
36,-70.512,53.235,-51.379,161.24,-134.41,-44.409,0.013291,26.377,17.791,-40.996,-93.623,-21.19,-53.245,-11.024,-32.879,53.693,16.422,-56.911,-10.304,-28.205,38.114,39.598,-19.748,47.936
42,46.19,2.3798,-53.398,-16.232,44.322,-13.843,54.79,-60.24,15.295,-53.759,46.907,20.878,149.97,27.43,14.646,58.915,-38.845,-33.183,-33.566,6.1714,0.017945,5.9941,53.705,-49.116
48,15.537,-48.65,-5.8695,-3.614,15.52,-59.006,-65.795,-33.198,22.126,45.485,72.747,-84.758,58.157,-4.9502,66.067,-33.184,-81.661,40.987,-23.315,-20.612,-36.849,152.17,10.619,-52.217
54,34.772,26.499,-21.856,2.405,4.5,93.187,-10.055,25.845,2.5109,-33.626,-24.147,-40.473,-30.196,44.923,42.2,15.012,-18.315,-33.483,9.8661,39.597,30.103,14.998,128.55,24.49
60,10.829,-34.237,72.338,13.481,0.19114,21.86,-30.699,0.95307,23.447,7.9626,-20.244,-25.186,7.9935,-21.955,9.4828,157.36,-37.592,-27.497,-42.15,-35.47,135.92,27.398,-0.39451,-80.741
66,18.978,43.169,70.327,-19.634,66.587,-25.099,57.923,-33.309,-2.5539,75.12,44.341,-121.5,-94.321,53.502,2.998,53.008,59.772,-4.6134,-7.1313,60.523,-24.893,85.968,87.725,-96.641
72,9.1169,12.238,-24.012,45.264,34.924,-74.448,-4.6098,50.122,58.452,-14.075,-8.869,-38.261,-23.218,28.791,-17.528,-24.226,-41.766,20.885,21.629,-64.763,12.237,63.064,45.089,-51.838
78,-1.2296,60.394,62.862,90.659,2.0434,3.5085,57.621,-4.372,16.287,-18.31,-26.154,-160.27,82.622,-19.726,58.902,41.085,-95.854,10.342,-38.906,-6.4868,20.914,68.604,51.963,4.209
84,73.808,336.05,37.948,-65.799,77.403,-20.448,-29.118,93.806,16.057,41.063,-24.846,-111.15,29.709,15.844,-10.372,36.35,-59.15,21.16,-3.0681,-130.82,12.144,-84.524,-57.426,18.198
90,13.407,160.71,30.998,58.704,-5.9222,-39.706,-16.352,-39.3,46.8,-33.807,-35.382,-134.59,42.511,33.266,16.663,309.55,-5.9596,4.2046,-43.207,-209.5,-1.2221,-49.277,30.783,-98.52
96,-48.396,166.22,67.877,-41.599,51.778,-16.573,-13.943,-36.031,-6.0857,-27.297,-42.95,-109.17,248.54,-9.8851,100.36,43.515,1.6939,-120.54,6.3581,-9.4565,-60.311,-4.2462,-85.192,-67.901
102,44.754,244.11,-22.322,1.2678,69.203,116.09,1.1709,162.4,11.372,-13.452,25.915,-143.53,54.588,32.089,38.998,34.526,-125.39,25.5,-133.82,-56.795,130.88,-14.53,-32.148,-42.642
108,-9.622,35.443,-29.826,-58.916,73.461,-7.1796,88.366,-50.824,34.897,-56.249,118.59,23.292,-5.6258,277.8,15.484,143.63,-203.11,-23.301,-90.996,-12.315,-47.48,-20.563,-25.527,27.192
114,1.7984,-0.71533,-124.57,28.438,149.34,9.3539,52.032,-71.885,59.806,-49.594,5.0267,-9.9457,160.05,2.1805,93.919,57.8,-113.02,-24.728,102,22.926,147.77,118.48,21.616,48.807
120,-135.43,165.48,-14.813,39.707,2.379,7.7888,6.0441,29.185,23.353,1.2852,14.852,19.595,-141.55,73.803,41.621,-149.26,-140.76,63.642,-81.247,-114.66,-14.922,1.3456,-8.1906,-197.48
126,761.76,1226.3,841.64,722.56,1193.3,636.18,772.5,1095.9,617.75,254.73,335.29,123.14,710.44,511.68,621.26,590.54,182.84,337.5,442.65,390.56,647.86,532.84,398.22,336.99
132,5897.3,7780.2,7758.3,7032.1,8029.2,7548,6096.1,6046.5,5140.4,4805.6,3790.9,3449.5,4410.8,3702.6,3358.9,3820.5,4352.2,4699.6,4894.8,5139.2,4898.6,4485.8,4167.4,3519.6
138,9147.7,13532,12556,11688,13695,12011,10739,9630.3,8804.3,8532.4,7291.3,7114.1,8473.4,6829.1,7253.4,6574,8110.6,8332.1,9028.4,8978.6,8893.7,8408.8,7576.8,6250.6
144,11938,15407,15156,15990,17263,15497,13757,14260,12754,11569,10222,8697.2,11205,9019,9611.3,9542.3,11127,11401,11692,11676,12522,10824,10660,8466.5
150,13858,18421,18377,19204,20460,19653,17246,16574,15485,14540,12238,11570,13041,12235,11494,13315,12983,13921,14508,14650,14833,13366,12654,10569
156,16161,21891,23779,22828,24447,22329,20800,18328,17056,15828,13899,13856,15798,13504,13565,15241,14695,16186,16917,16776,17408,16146,14340,12885
162,19287,25886,27085,26479,27410,25359,23305,23437,20526,19614,17316,15982,18180,16759,16034,16297,17534,19319,19353,19751,19321,18796,17228,14865
168,20963,29137,29675,30069,31141,29395,26833,25704,23164,22568,20018,18537,21064,19101,18466,19869,19684,21476,22250,22206,23162,21525,19457,17523
174,23279,30631,32322,33620,34247,32052,29763,29758,25192,24633,22382,21711,23827,21577,20636,21453,21729,24413,24843,24493,24897,23446,21370,19586
180,23576,32819,34953,35191,35794,33772,31253,29830,25181,26253,24535,23074,25038,23116,22997,23338,21637,25218,25895,26940,26781,25945,23059,20588
186,24975,33296,34678,35939,37514,34865,34019,32233,27002,26484,25928,24354,26798,24435,24225,25702,21933,26346,27383,26771,28320,27002,23952,22200
192,26081,33598,37527,37145,38214,35934,34406,32041,27593,28050,27613,24645,27750,25630,26398,26340,23197,26469,27643,28916,29453,28007,25095,24132
198,26900,34424,37898,37745,38513,37601,34631,32804,28892,29169,27846,26316,28420,26251,27181,27071,23852,27106,28266,29353,30346,29252,25560,24046
204,26680,35054,38410,37543,41095,38852,35079,33795,28418,28214,28765,26427,28383,26549,27214,28870,25454,27507,29020,30970,30714,29909,26966,25169
210,27496,35786,38707,39341,40995,38094,36951,35425,29002,29283,27937,27065,29956,27029,27403,29046,25309,28204,29102,30614,31752,30360,26752,25041
216,28017,36640,39805,40054,40569,40000,37258,35355,29947,29772,28660,27401,29300,27815,28751,28633,25599,28676,29496,31140,31884,30146,27139,25550
222,27618,36548,40619,40073,41979,39897,37303,34312,30822,30444,28904,27619,29606,28108,28302,29113,25586,28300,29510,31863,32124,30654,26977,25653
228,27772,35799,40691,41254,41547,41469,37007,35214,30900,30925,29974,28700,30471,28704,28844,29672,26106,28875,29740,31886,33175,30707,27568,26328
234,27687,35959,40382,40349,42888,40996,37801,36780,30332,31174,29924,28454,30932,28304,28955,30587,26084,28732,31236,31941,32596,31643,27205,25928
240,27574,37060,40100,39424,42110,39907,38348,36524,30491,32755,29473,28946,30211,28998,29261,30420,26495,29657,31276,32278,33054,32008,27432,27363
246,28332,36927,40082,41440,41939,39927,37193,36940,31246,30687,29654,28963,30750,28544,30151,30721,26943,29052,30642,32546,33019,31781,27842,26115
252,27554,36988,39779,41689,42735,40734,37923,36248,31022,31217,30863,29474,31072,29400,30332,31306,26343,29192,30800,32687,33624,32635,28637,26843
258,27891,37375,39667,40255,42926,40496,36990,36087,30876,32101,30861,28735,31516,29189,29569,31513,26753,29517,31236,32253,33997,32364,27946,27355
264,28283,36500,40472,41184,41333,40165,37919,34975,31279,31517,31116,29284,31885,29208,29849,31444,26124,30322,31546,32778,34205,32742,28590,26797
270,27716,36023,39123,41863,42406,40024,37662,35710,32011,31928,31280,28775,31307,29736,29732,31123,26749,29615,31988,33199,33775,31873,28627,27264
276,27838,36580,39459,40665,41900,40972,38050,35448,33091,31070,31315,29547,31857,30281,30097,31438,25716,29941,31678,32821,34016,32636,29296,26645
282,27479,36610,39629,40307,41660,39541,37515,35932,31615,30843,31822,28917,31955,29936,30198,30320,26288,29725,31464,32305,33528,32126,28913,26595
288,28181,36960,39150,40154,42683,38635,37616,35659,31720,32711,31293,29597,31808,30201,29906,31571,26661,29894,31737,32504,33978,31733,29447,27611
294,27682,36220,39527,40840,41869,39459,38225,36054,32482,32228,31365,30326,31809,30109,30660,31118,26289,29719,31533,32891,34175,31613,28571,27151
300,28216,34915,38034,41122,41691,39405,38057,36468,32129,31703,31493,29422,32372,30816,30352,32060,25988,29771,31420,32733,33496,31900,28991,27113
306,27557,37180,39970,40746,41311,40063,37529,37617,31536,31870,31403,29522,31664,30000,30316,31461,27124,29595,31573,32661,34021,32111,28618,27390
312,27706,37188,38833,42357,42842,40033,38760,35185,32049,31896,32306,29273,31889,30200,30926,31069,26520,30143,32262,33371,34310,32548,29713,27367
318,27856,37598,40929,41898,42379,40494,38618,35648,32672,32538,31913,29497,32064,30258,30723,32004,26916,29920,31493,33097,34304,32547,29163,27707
324,27911,38017,41849,41887,42892,41268,38395,37213,32208,32756,32585,30129,32450,30810,30643,31753,26272,29999,31451,33726,34362,32574,28939,26936
330,28700,37859,42313,41627,43215,41067,38113,37848,32728,32478,30490,30713,32420,29329,30726,31843,26563,30499,32204,33270,34039,32862,28953,27884
336,29017,39374,41926,41810,43916,42476,40132,37327,31704,32736,31919,30591,32349,29483,30390,31504,27287,30607,32522,33242,34799,32829,28832,27769
342,28826,39716,41906,43320,43097,42299,39112,37480,31721,32182,32611,30469,32605,30834,31331,31732,27945,30928,32341,33168,34517,33484,30282,28391
348,29617,40223,41051,44065,43658,42860,39108,38165,32174,32287,31742,30158,31756,30155,30508,32096,27745,30756,32578,34140,33957,32989,29550,27835
354,30394,38890,41938,43497,44591,42370,39998,38812,32817,32170,31652,30265,32398,30387,30090,32116,27201,31003,33059,34027,35254,33527,29191,28649
360,30029,39673,42215,44183,43746,42907,39041,38251,32668,32950,31969,30291,32929,30352,29708,31796,27339,30418,32535,33471,34879,33134,30008,28749
366,30678,39711,41492,44401,45442,42052,39130,39195,32150,32101,31248,30807,33067,30807,30435,31605,27631,30896,32488,34162,35903,33083,30326,28256
372,29409,39875,43073,43972,45395,42520,39735,39004,32342,32348,31957,31019,33486,30540,31122,31090,28153,31222,33312,34956,35239,32702,30347,29027
378,30422,40677,41965,44749,45958,42642,39837,39767,32210,32564,31050,30999,32804,31199,31219,32492,27964,31280,33545,34904,35724,33527,29786,29488
384,31892,40618,42585,44460,45650,42625,39565,39590,32359,33165,32453,30882,32768,30817,31081,31459,28043,31064,32999,34363,34641,33978,30518,28799
390,32391,40132,43734,44566,45365,43909,41385,40476,33767,32348,31268,30791,33236,31003,30851,32220,28047,31355,33298,35130,35666,33490,30143,28914
396,26779,37202,39817,40416,41468,40047,36904,35243,31165,31474,31197,29896,31806,30422,30108,30497,27285,30776,32480,33442,35285,33801,30362,28547
402,32896,43260,46621,47707,47737,45611,43088,41664,31707,30791,30573,30009,31867,29327,30424,31199,28813,32200,35183,35109,36764,34316,31168,29746
408,31410,42065,45894,46364,48127,44813,42326,40839,31531,32325,31372,30889,32645,29901,30643,31425,27780,32268,34637,35524,36529,34816,30301,28980
414,32290,41789,45773,45982,47548,46161,42226,40978,32312,31920,31694,30470,33009,29818,30690,31301,28195,31746,33291,35100,36362,34052,30563,29365
420,32114,41488,45690,46209,48091,45607,41861,39949,32036,32993,31806,30536,32810,30956,31159,31544,28819,32195,33077,34899,36420,34093,30796,29063
426,31724,41635,44925,45542,47716,45613,41389,39983,33340,34314,32214,30713,33057,30628,31482,31934,28699,32556,33767,35221,36629,34783,30637,29775
432,31321,41241,45147,45895,47590,46021,41201,40467,33048,33138,31323,30521,33487,30321,31471,32010,28590,32738,33846,35462,36001,33988,31250,29284
438,31563,41554,45201,45499,48061,45712,42557,40353,32695,33471,32179,30882,33405,31054,31556,31786,28433,32229,33739,35013,36454,34279,30783,29973
444,32403,41503,44696,46981,47330,45492,41332,40732,33265,32965,32827,31059,33709,31879,31112,32722,27779,31681,33669,35361,36259,34126,30914,29147
450,31818,40911,44935,46557,47608,44833,41492,39748,33921,33306,32993,31727,34024,31121,32062,32717,27873,32394,34583,34738,36230,34468,31310,29981
456,31267,40859,45956,47020,47524,45734,42346,40408,34119,32699,31821,31026,34532,31511,31494,32747,28273,32223,33767,35813,35904,34371,30804,28530
462,-14.36,54.921,19.036,46.317,18.098,-35.912,-33.866,-51.202,1.9602,-42.095,-14.333,2.3669,15.359,-119.2,47.501,-33.902,-51.419,11.347,19.28,-20.127,26.655,-49.773,-53.602,0.61676
468,7.9666,12.658,-2.3334,-20.263,-17.875,18.687,30.95,-0.68281,-1.3314,142.59,10.986,-36.181,-59.528,-73.072,-52.97,199.1,-69.034,-51.693,-64.711,21.108,-4.6607,35.469,-4.3476,54.371
474,21.717,22.008,23.069,17.253,-6.2754,-59.677,-15.718,10.906,-31.081,-22.148,117.68,-84.375,-89.537,4.4399,-44.455,52.427,-80.879,-17.801,-45.93,-55.344,46.646,16.484,1.8389,-35.871
480,-116.68,-34.248,-63.172,48.855,72.895,1.1843,-7.8522,-63.138,-71.496,51.974,3.324,28.277,-81.418,-57.632,37.801,27.968,-51.644,46.087,-76.945,-31.675,-56.607,-52.299,-59.299,-2.9622
486,-152.06,51.147,-26.029,44.483,-78.98,51.558,46.938,-22.385,111.37,56.176,7.0352,38.09,-3.2195,-23.384,42.639,112.57,-3.8422,-20.831,-2.3007,82.146,33.988,52.215,177.53,-70.391
492,-25.881,256.64,-18.75,-4.3945,-52.224,102.93,173.02,86.391,4.0143,27.469,-87.957,-49.328,25.038,18.42,-44.822,18.281,-67.167,-42.898,-18.177,-57.513,-86.555,-8.8545,-63.95,59.366
498,-93.841,-18.582,14.383,-32.366,11.099,1.3772,7.4528,-16.983,-8.0545,25.801,-69.69,-78.43,13.514,4.4335,32.763,157.47,-161.44,-19.284,59.672,57.036,47,54.824,36.438,55.812
504,102.07,137.58,-12.023,-14.249,3.2259,35.735,18.685,0.35433,182.64,-55.748,-27.074,-129.99,20.398,99.504,52.102,49.61,-121.77,-71.739,0.88255,21.892,-90.579,-93.099,-60.46,-51.948
510,116.3,91.78,58.659,-17.405,-82.855,-50.356,40.327,-53.301,33.055,-6.5638,81.041,-139.64,97.342,-20.081,69.329,58.13,-12.723,-150.12,10.057,-26.665,-32.161,-28.761,-1.8386,-112.31
516,-135.1,69.613,-60.897,-28.715,-51.701,-4.2414,2.1241,38.051,-77.991,-50.489,28.206,-80.58,-27.456,33.914,18.897,72.596,1.4652,42.575,-23.318,-97.37,20.396,-30.117,-115.79,94.333
522,-48.578,69.406,35.457,-10.022,1.9524,68.561,246.66,85.141,137.96,-62.203,20.224,44.228,-17.002,-47.351,-19.304,62.168,-65.898,-101.32,-27.617,61.563,189.69,7.3058,-68.38,-47.824
528,1.9634,672.69,-30.098,-13.776,63.949,85.723,45.453,-6.2452,36.419,48.686,12.726,-55.976,-8.6274,-30.503,-97.174,214.31,-10.262,-95.62,52.961,-1.5935,-32.512,-11.949,-57,-10.437
534,49.014,95.807,2.6253,-26.53,67.634,-29.809,86.941,54.865,-66.448,19.369,35.338,-93.733,9.3948,-11.102,-98.143,-33.709,-117.45,-95.522,-79.24,-51.986,33.034,-48.65,-53.973,-126.12
540,-30.325,91.171,-67.849,-53.229,7.3979,44.903,61.419,-49.9,2.5148,-54.246,37.43,-153.32,9.9093,18.64,40.804,-19.63,-92.093,-27.093,4.6939,-36.933,56.109,3.4195,-9.1553,-8.6753
546,49.973,301.1,-25.083,-50.252,-87.466,33.485,21.361,-67.744,22.693,-40.782,41.083,-199.41,-52.673,52.709,85.176,-89.185,26.157,-7.0583,-17.591,-63.947,30.36,68.092,-22.984,49.387
552,-43.752,73.468,-21.436,22.256,11.733,-19.891,-12.589,25.989,70.271,31.675,-37.093,-53.245,-62.339,30.346,55.168,53.008,-108.47,-40.871,-105.1,-42.754,5.0807,-4.4965,191.64,-55.675
558,22.42,77.662,19.093,-15.373,-26.175,-77.917,42.177,3.3654,38.536,-132.39,64.099,-92.954,-77.032,-64.788,-61.616,-30.709,-44.325,-40.726,-16.477,1.4703,10.136,-13.385,45.685,-11.804
564,17.405,61.326,15.702,24.81,-17.78,61.364,-92.172,-65.684,115.03,-142.33,-128.07,-88.505,-64.763,60.586,36.791,16.058,-136.02,5.1857,39.869,-63.784,69.579,68.029,-36.143,-14.731
570,67.308,911.1,244.15,18.937,60.092,489.37,602.67,677.64,51.265,7.5664,64.024,37.17,146.25,166.35,51.948,69.302,89.341,356.81,352.27,80.022,212.44,229.62,87.933,67.479
576,1832.9,2581.9,1935.2,2423.7,2525.8,2290.7,2022.1,1933.5,2395.2,1198.7,1178.1,1099.3,1289.9,1668.6,1159.7,1306.2,1047,1452.5,1514.3,1672.2,1807.1,1185.2,1263.4,1092.2
582,3461.2,5613.8,3821.8,5649.7,5266,5140.9,4417.9,3616.8,4298.9,3425.5,2869,2423.6,3269.3,3203.4,3197.5,2971.8,2907.9,3504.9,3623.7,3166.1,3599.6,3358.7,2847.7,2051.1
