Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,-0.0061554,-0.004126,0.0032406,-0.0039746,-0.0029392,-0.0026458,-0.0035804,0.0058485,-0.0031186,-0.0047748,-0.0011552,0.0012431,-0.0026414,-0.0031948,-0.0034913,-0.0021264,-0.0024556,-0.0020801,0.049617,0.012693,-0.008916,-0.0044792,-0.0053483,-0.0031353
6,0.0042274,-0.0065723,0.0043165,-0.0037906,0.0035676,-0.0055901,0.0016311,0.0025243,0.0049249,-0.0028953,-0.0049283,-0.005368,-0.0038533,-0.0059724,-0.0039711,-0.0068248,0.0016639,-0.0020987,0.05459,0.013001,-0.0087705,-0.0055377,-0.004868,-0.005943
12,-0.0031891,0.0050672,-0.0039667,-0.0056496,0.002596,-0.0018243,0.0065403,0.0034941,0.0043991,0.0034639,0.0014034,-0.0053369,-0.0040985,0.00648,-0.0016217,-0.0033874,-0.003316,0.0037275,0.0021026,0.005693,0.0030932,-0.0040796,-0.00321,-0.0043143
18,-0.0047935,-0.00096792,-0.0012504,0.068863,-0.0040093,0.001336,0.0021036,-0.0013731,0.003798,0.0029564,0.0046259,0.0017144,-0.0046135,0.0027496,0.0024271,-0.005252,-0.0029995,0.0031741,0.0058369,0.0024932,-0.0023819,-0.0039476,0.0015587,0.0032006
24,0.0038253,0.0031538,-0.0052964,0.012078,-0.001867,0.0021357,-0.0021272,0.0024847,0.0036181,-0.0037244,0.0026821,-0.0028133,-0.0055725,0.0036942,-0.0038737,-0.004392,0.00524,0.0029147,-0.0032476,0.0037684,0.0025994,-0.0035071,-0.0042293,0.0034215
30,-0.0036134,0.0044986,-0.0041433,0.010445,-0.0062822,-0.0038295,-0.0027519,-0.0054265,0.0041014,-0.0046725,-0.002975,-0.0034925,-0.0030815,-0.0066628,-0.0044452,-0.0052276,0.0032065,-0.0038635,-0.0036645,0.0034728,0.0077351,-0.0021281,-0.0047041,-0.0038509
36,-0.0054456,-0.0024937,-0.0036746,0.0060865,-0.0071072,-0.0035762,-0.0016664,0.0017762,-0.0012694,-0.0031045,-0.005741,0.0041036,-0.0057264,-0.0039211,-0.0046597,-0.0021858,0.0052406,-0.0038708,0.0018379,0.0010723,0.0019761,0.0018795,-0.0035594,0.0053418
42,0.0032061,-0.0044061,-0.0037402,-0.0021001,-0.0038555,-0.0030154,0.0033513,-0.0038201,-0.0015461,-0.0036894,0.0034034,0.0055507,0.005505,-0.0016188,-0.0024699,-0.0017656,0.0026791,-0.0026875,-0.0019488,0.00337,-0.0026585,-0.0025828,0.0034955,-0.002467
48,-0.00045789,-0.0057144,-0.0015924,-0.0012094,-0.0013938,-0.0013924,-0.0044279,0.0028956,-0.00050858,0.0041579,0.0044501,-0.0020666,0.0013407,-0.0036551,0.0032851,-0.0056922,-0.0029221,0.0041272,-0.0007974,0.0018451,-0.0042055,0.006141,-0.0015427,-0.0026818
54,0.0025243,-0.0036271,-0.0025275,-0.00023825,-0.0028468,-0.0031532,-0.0023133,-0.0035496,-0.0025258,-0.0027098,-0.0032558,0.0032304,-0.0050632,0.0017836,0.0017179,-0.0041324,0.0038358,-0.0027057,0.0030983,0.0046133,0.001264,-0.0019841,0.00613,0.0044912
60,-0.0013493,-0.0053772,0.0040387,0.0015907,-0.0026333,-0.0044922,-0.0032605,-0.0018657,0.0003918,0.0023676,-0.003082,0.0039386,-0.0037119,-0.0043589,-0.0027923,0.0053088,0.0027636,-0.0023159,-0.0025388,-0.0010037,0.0056634,-0.00041467,-0.0024722,-0.0041674
66,0.00098377,-0.0029716,0.0039782,-0.0022814,-0.0024701,-0.0040767,0.0034688,-0.003517,-0.0028214,0.0051493,0.0033085,-0.0040588,-0.0067488,0.0024549,-0.0031507,-0.002235,0.006586,0.0014562,0.0020872,0.0052436,-0.0037739,0.0041966,0.0048729,-0.0048
72,-0.0015513,-0.0041056,-0.0026283,0.0031551,0.0013365,-0.0024463,-0.0019897,0.0055526,0.0033282,-0.0011207,-0.002471,0.0033423,-0.0048444,-0.0014728,-0.0040829,-0.0054363,0.0024709,0.0032341,0.0036371,-0.0031153,-0.0018837,0.0032645,0.0030495,-0.0026565
78,-0.0024386,-0.0020883,0.0037453,0.0045341,-0.0011716,-0.003752,0.0034576,-0.0027904,-0.0014424,-0.0016045,-0.0033975,-0.0054172,0.0030649,-0.0042733,0.0029048,-0.0029642,-0.0037078,0.0026479,-0.0023335,0.0027566,-0.0010242,0.0035127,0.00341,0.0035967
84,0.0044418,0.0081953,0.0028326,-0.0039986,0.0037764,-0.0012461,-0.0031979,-0.0019278,-0.0014672,0.0039889,-0.0033744,-0.0036106,-0.0026524,-0.0025423,-0.0037841,-0.0032081,-0.00052493,0.003248,0.0023685,-0.0054148,-0.0018907,-0.0058441,-0.0050433,0.004234
90,-0.00096876,0.0046548,0.0025196,0.0036186,-0.0018926,0.006393,-0.0026385,-0.0032669,0.0027278,-0.0027202,-0.0037589,-0.004563,-0.0017495,-0.00082763,-0.002332,0.0087508,0.0043873,0.0022371,-0.0026023,-0.0072583,-0.0027248,-0.0048427,0.00211,-0.0048693
96,-0.0046996,0.004806,0.0039033,-0.0032149,-0.00066568,0.003688,-0.0025191,-0.0028066,-0.0030103,-0.0023179,-0.0040857,-0.0035183,0.0078045,-0.0038726,0.0046965,-0.0028309,0.0046966,-0.0059827,0.0029185,0.0025917,-0.0049441,-0.0031273,-0.0059028,-0.0035759
102,0.0031286,0.0065809,-0.0025496,-0.00056781,0.00095765,0.0048472,-0.001575,0.0031983,-0.0019011,-0.0010305,0.0022736,-0.0048773,0.00083014,-0.001037,0.0013781,-0.0032973,-0.0049586,0.0034596,-0.0058925,-0.0027091,0.0055339,-0.003592,-0.0041073,-0.0019433
108,-0.0029696,-0.0032916,-0.0028825,-0.0037922,-0.0042651,0.0019041,0.0044517,0.0035723,0.0019305,-0.003793,0.0058315,0.0056224,-0.0042434,0.0089676,-0.0024136,0.0048806,-0.0072882,-0.0019977,-0.0046382,0.0024224,-0.004555,-0.0038385,-0.0038245,0.0045973
114,-0.002216,-0.0044963,-0.0055804,0.0024544,0.0066762,-0.0014849,0.0032443,0.0032999,0.0033911,-0.0035093,-0.0012452,0.0045358,0.0057822,-0.0033159,0.0044656,-0.0018632,-0.0044776,-0.0021114,0.0061661,0.0040413,0.0059572,0.0052424,0.0011603,0.0053708
120,-0.0072018,0.004786,-0.0021659,0.0029422,-0.0010828,-0.0038537,-0.0011111,-0.0019724,0.00035268,0.0018779,0.0011563,0.0055122,-0.0077594,0.0035721,0.0016616,-0.0083251,-0.0054984,0.004944,-0.0043019,-0.0049518,-0.003372,-0.0028429,-0.0029586,-0.0076819
126,0.015973,0.017267,0.014202,0.012968,0.015072,0.01505,0.013956,0.015568,0.013624,0.0090795,0.010124,0.0080479,0.014294,0.012569,0.013899,0.012881,0.0094101,0.010677,0.011962,0.011202,0.013399,0.012381,0.011356,0.011474
132,0.04486,0.044707,0.043226,0.040522,0.042771,0.042811,0.039448,0.041331,0.039961,0.038722,0.034666,0.034197,0.036787,0.034876,0.033053,0.034539,0.040236,0.039251,0.038941,0.039185,0.037468,0.03679,0.037497,0.035595
138,0.055899,0.059085,0.054996,0.052246,0.056081,0.053867,0.052379,0.052035,0.052347,0.051573,0.048028,0.048851,0.051134,0.047469,0.048702,0.04548,0.054759,0.052236,0.052835,0.051725,0.050542,0.050444,0.050608,0.047341
144,0.063871,0.063068,0.060425,0.061111,0.063264,0.061516,0.059291,0.061608,0.06303,0.060042,0.056922,0.053964,0.058844,0.054586,0.056094,0.054884,0.064076,0.061092,0.06011,0.058961,0.059996,0.057254,0.06005,0.05506
150,0.068822,0.06899,0.066539,0.066973,0.068649,0.068469,0.06639,0.066967,0.069463,0.067308,0.062276,0.062178,0.063506,0.063609,0.061359,0.064899,0.069187,0.067501,0.066947,0.066027,0.065308,0.063638,0.065434,0.061496
156,0.074327,0.075233,0.075691,0.073019,0.074865,0.074033,0.072914,0.070245,0.072905,0.070224,0.066365,0.06801,0.069921,0.066837,0.066672,0.069457,0.073589,0.072781,0.072283,0.070645,0.070759,0.069955,0.069662,0.067882
162,0.081204,0.081832,0.080783,0.078642,0.079498,0.078239,0.077181,0.077866,0.079988,0.078167,0.074064,0.073015,0.075022,0.074475,0.072502,0.071832,0.080359,0.07951,0.077306,0.076644,0.074551,0.075487,0.076363,0.072899
168,0.084661,0.086834,0.084558,0.083804,0.084371,0.083838,0.08282,0.082716,0.084978,0.083843,0.079657,0.078613,0.080772,0.079521,0.077816,0.079346,0.085128,0.08383,0.082885,0.081259,0.081634,0.080791,0.081157,0.079135
174,0.089219,0.089038,0.088249,0.088615,0.088273,0.087738,0.087227,0.087825,0.088623,0.087594,0.084217,0.085053,0.085918,0.084526,0.08227,0.082458,0.089428,0.089375,0.087578,0.085337,0.084639,0.084322,0.085056,0.083657
180,0.089788,0.092171,0.09177,0.090663,0.090804,0.0902,0.089384,0.089399,0.088605,0.090428,0.088209,0.087674,0.088078,0.087493,0.086856,0.086016,0.089239,0.090835,0.089411,0.089493,0.087786,0.088707,0.088356,0.085766
186,0.092416,0.09284,0.09141,0.091621,0.09227,0.091263,0.093257,0.092346,0.091754,0.090824,0.090644,0.090064,0.091128,0.089959,0.089148,0.090281,0.089844,0.092844,0.091942,0.089212,0.090275,0.090498,0.090052,0.089055
192,0.09444,0.093261,0.09509,0.093145,0.093764,0.092429,0.093786,0.093197,0.092755,0.093469,0.09354,0.0906,0.092736,0.092136,0.093066,0.091396,0.092391,0.093061,0.092377,0.092712,0.092065,0.092168,0.092178,0.092844
198,0.095912,0.094403,0.09556,0.093895,0.093504,0.094412,0.094092,0.093534,0.094914,0.095316,0.093911,0.093612,0.093851,0.093246,0.094436,0.092659,0.093684,0.094173,0.093411,0.093409,0.093451,0.094196,0.093029,0.092678
204,0.095519,0.095264,0.096202,0.093644,0.097218,0.096062,0.094699,0.094889,0.094132,0.093743,0.095444,0.093808,0.093789,0.093775,0.094494,0.095697,0.096771,0.094867,0.094648,0.095945,0.094018,0.09525,0.095555,0.094816
210,0.096969,0.096256,0.096574,0.095859,0.096497,0.095864,0.097194,0.09704,0.095095,0.095501,0.094098,0.094931,0.096357,0.094619,0.094823,0.095987,0.096496,0.09606,0.094781,0.095392,0.095594,0.095966,0.095175,0.094575
216,0.097885,0.0974,0.097934,0.096724,0.09653,0.097598,0.097596,0.096331,0.096634,0.096295,0.095346,0.095517,0.095294,0.095988,0.09713,0.095301,0.097046,0.09686,0.095422,0.096207,0.095792,0.095626,0.095861,0.095529
222,0.097185,0.097279,0.098931,0.096747,0.098189,0.098034,0.097655,0.096023,0.098036,0.097375,0.095745,0.095896,0.095792,0.096492,0.096367,0.096099,0.097021,0.096224,0.095444,0.097316,0.096153,0.096431,0.095575,0.095722
228,0.097456,0.096274,0.099018,0.098163,0.097293,0.099861,0.097268,0.097101,0.09816,0.098141,0.096758,0.097748,0.097183,0.097512,0.097286,0.097019,0.098,0.097196,0.095814,0.097352,0.097715,0.096514,0.096615,0.09697
234,0.097305,0.096489,0.098642,0.097081,0.099053,0.098499,0.098306,0.099103,0.097252,0.098535,0.097442,0.09733,0.097917,0.096829,0.097473,0.098508,0.097957,0.096955,0.098193,0.097436,0.096858,0.097975,0.095977,0.096232
240,0.097108,0.097959,0.098296,0.095961,0.098463,0.098168,0.099015,0.098796,0.097508,0.101,0.096673,0.098166,0.096767,0.09801,0.097988,0.098238,0.098725,0.098502,0.098256,0.097948,0.097536,0.098538,0.096378,0.098856
246,0.098434,0.097782,0.098275,0.098383,0.09755,0.098085,0.097511,0.098416,0.098709,0.097764,0.09698,0.098195,0.097629,0.097239,0.099468,0.098724,0.099554,0.097493,0.097256,0.098353,0.097485,0.098189,0.097096,0.096579
252,0.097073,0.097864,0.097903,0.098679,0.098936,0.097923,0.098465,0.099201,0.098353,0.098603,0.098872,0.099056,0.098139,0.098688,0.099767,0.099662,0.098442,0.097729,0.097505,0.098566,0.098374,0.0995,0.098472,0.097914
258,0.097664,0.098375,0.097764,0.096966,0.098434,0.099005,0.097245,0.097917,0.098121,0.099989,0.098933,0.097809,0.098839,0.098333,0.098503,0.09999,0.099204,0.098271,0.098192,0.09791,0.098918,0.099086,0.097278,0.098842
264,0.098349,0.097215,0.098751,0.098079,0.097573,0.098562,0.098459,0.096377,0.09876,0.099076,0.099343,0.098736,0.099416,0.098365,0.098968,0.099881,0.098034,0.099602,0.09868,0.098703,0.09922,0.099663,0.098392,0.09783
270,0.097357,0.096576,0.097092,0.098884,0.098179,0.098153,0.098125,0.098145,0.09991,0.09972,0.099602,0.097876,0.098511,0.099251,0.098774,0.099369,0.099197,0.098434,0.099367,0.099335,0.098594,0.098331,0.098455,0.098677
276,0.097571,0.097321,0.097508,0.097459,0.097267,0.098702,0.098629,0.097476,0.10158,0.098372,0.099656,0.099177,0.099373,0.10016,0.09938,0.099871,0.097267,0.098973,0.098885,0.098768,0.098946,0.099501,0.099601,0.097551
282,0.096939,0.09736,0.097717,0.09703,0.097437,0.0973,0.097933,0.097287,0.09929,0.098011,0.10042,0.098117,0.099526,0.099584,0.099547,0.098075,0.09834,0.098616,0.09855,0.097989,0.098234,0.09872,0.098947,0.097461
288,0.09817,0.097826,0.097125,0.096845,0.098621,0.096338,0.098065,0.097455,0.099454,0.10093,0.099609,0.09926,0.099297,0.10002,0.099064,0.10008,0.099033,0.098895,0.098977,0.098289,0.098891,0.098113,0.099856,0.099302
294,0.097297,0.09684,0.097592,0.097669,0.098215,0.097525,0.098855,0.098157,0.10064,0.10019,0.09974,0.10047,0.099298,0.099872,0.1003,0.099361,0.098342,0.098606,0.098659,0.098872,0.099177,0.097929,0.098359,0.098474
300,0.098232,0.095076,0.095731,0.098005,0.097661,0.09712,0.098638,0.097916,0.10009,0.099368,0.099948,0.098967,0.10017,0.10104,0.0998,0.10086,0.097778,0.098691,0.098481,0.098636,0.098186,0.098372,0.09908,0.098405
306,0.097077,0.098117,0.098138,0.097556,0.097274,0.097469,0.097951,0.099295,0.099165,0.099629,0.099793,0.099135,0.099072,0.099691,0.09974,0.099908,0.099888,0.0984,0.098721,0.098526,0.098953,0.098697,0.098441,0.098904
312,0.09734,0.098128,0.096732,0.099467,0.098897,0.098024,0.099545,0.096868,0.099969,0.09967,0.10119,0.098718,0.099423,0.10002,0.10074,0.099283,0.098772,0.099307,0.099792,0.099591,0.099373,0.099368,0.10031,0.098864
318,0.097603,0.098668,0.099307,0.098926,0.098168,0.098665,0.099363,0.097744,0.10094,0.10067,0.1006,0.099094,0.099696,0.10012,0.10041,0.10077,0.099505,0.098939,0.098596,0.099182,0.099364,0.099365,0.099373,0.099474
324,0.0977,0.099217,0.10042,0.098913,0.09925,0.099462,0.099075,0.099752,0.10022,0.101,0.10167,0.10015,0.1003,0.10103,0.10028,0.10037,0.098311,0.099069,0.09853,0.10012,0.099448,0.099407,0.098991,0.098082
330,0.099072,0.099011,0.10097,0.098606,0.099263,0.099302,0.098711,0.099882,0.10102,0.10057,0.09831,0.10111,0.10025,0.098568,0.10041,0.10051,0.098851,0.099891,0.099702,0.099441,0.098979,0.099846,0.099016,0.099792
336,0.099617,0.10098,0.10051,0.098822,0.10008,0.10097,0.10129,0.099083,0.09943,0.10097,0.10061,0.10091,0.10014,0.098827,0.099863,0.099977,0.10019,0.10007,0.10019,0.099398,0.10008,0.099796,0.098807,0.099586
342,0.099288,0.10141,0.10049,0.10059,0.099367,0.10096,0.099996,0.098988,0.099455,0.10011,0.10175,0.10071,0.10054,0.10107,0.1014,0.10034,0.10139,0.10059,0.099913,0.099287,0.099672,0.10079,0.10126,0.10069
348,0.10064,0.10206,0.099455,0.10145,0.10015,0.10106,0.099991,0.10083,0.10016,0.10028,0.10035,0.10019,0.099215,0.099948,0.10006,0.10091,0.10102,0.10031,0.10028,0.10073,0.098859,0.10004,0.10003,0.099704
354,0.10195,0.10035,0.10052,0.1008,0.10096,0.10044,0.10112,0.10201,0.10116,0.1001,0.10017,0.10037,0.10022,0.10033,0.099368,0.10095,0.10003,0.10071,0.10102,0.10056,0.10073,0.10085,0.09942,0.10115
360,0.10134,0.10136,0.10086,0.10159,0.10003,0.10092,0.099905,0.10014,0.10093,0.1013,0.10068,0.10042,0.10103,0.10027,0.098734,0.10044,0.10028,0.099759,0.10021,0.09974,0.10019,0.10026,0.1008,0.10133
366,0.10243,0.10141,0.099988,0.10184,0.1018,0.10099,0.10002,0.10125,0.10013,0.09999,0.099567,0.10127,0.10125,0.10102,0.099936,0.10014,0.10082,0.10054,0.10014,0.10076,0.10166,0.10018,0.10134,0.10045
372,0.10029,0.10162,0.10188,0.10134,0.10203,0.10122,0.10079,0.10115,0.10043,0.10037,0.10072,0.10161,0.10189,0.10059,0.10106,0.099316,0.10176,0.10107,0.1014,0.10193,0.10071,0.099602,0.10137,0.10181
378,0.102,0.10264,0.10056,0.10224,0.10211,0.10114,0.10092,0.10265,0.10022,0.10071,0.099227,0.10158,0.10084,0.10167,0.10122,0.10153,0.10142,0.10116,0.10175,0.10185,0.1014,0.10085,0.10043,0.10262
384,0.10444,0.10256,0.1013,0.10191,0.10214,0.10127,0.10057,0.1027,0.10045,0.10163,0.10144,0.10139,0.10079,0.10104,0.10099,0.099905,0.10156,0.10081,0.10092,0.10106,0.099851,0.10153,0.10166,0.10141
390,0.10525,0.10195,0.10265,0.10203,0.10164,0.10291,0.10286,0.10318,0.10262,0.10037,0.099555,0.10124,0.1015,0.10135,0.10062,0.10111,0.10157,0.10128,0.10138,0.10218,0.10132,0.1008,0.10103,0.10162
396,0.095696,0.098146,0.097949,0.097161,0.09724,0.097342,0.097132,0.096812,0.09858,0.099009,0.099448,0.099761,0.099294,0.10039,0.099398,0.098362,0.10018,0.10034,0.10013,0.099696,0.10078,0.10126,0.1014,0.10097
402,0.10607,0.10585,0.10599,0.10556,0.10458,0.10486,0.10496,0.10486,0.099433,0.097929,0.098425,0.099948,0.099389,0.098566,0.099919,0.09949,0.10295,0.10264,0.10421,0.10215,0.10287,0.10203,0.10273,0.10307
408,0.10365,0.10438,0.10516,0.10406,0.10428,0.10375,0.10402,0.10473,0.099157,0.10034,0.099705,0.1014,0.1006,0.099527,0.10028,0.09985,0.10109,0.10275,0.1034,0.10275,0.10254,0.10277,0.1013,0.10173
414,0.10509,0.10403,0.10502,0.10364,0.10424,0.10454,0.1039,0.10441,0.10038,0.099707,0.10024,0.10071,0.10116,0.099388,0.10035,0.099653,0.10184,0.10191,0.10137,0.10214,0.1023,0.10164,0.10173,0.1024
420,0.1048,0.10366,0.10493,0.10389,0.10417,0.10408,0.10345,0.10373,0.099949,0.10137,0.10043,0.10082,0.10085,0.10127,0.10112,0.10004,0.10296,0.10263,0.10104,0.10184,0.10238,0.1017,0.10212,0.10188
426,0.10416,0.10384,0.10404,0.10314,0.10405,0.10474,0.10287,0.10368,0.10196,0.10338,0.10104,0.10111,0.10123,0.10073,0.10164,0.10066,0.10274,0.1032,0.10209,0.10231,0.10268,0.10272,0.10185,0.10312
