Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,-10.523,-8.1,6.6013,-8.2236,-6.1583,-5.4092,-7.0801,11.341,-5.5827,-8.5572,-2.0509,2.1572,-4.7404,-5.5474,-6.0914,-3.771,-4.053,-3.6373,89.336,23.293,-16.613,-8.1289,-9.1882,-5.2494
6,7.2267,-12.903,8.793,-7.843,7.4749,-11.429,3.2255,4.8949,8.8163,-5.1887,-8.7493,-9.3151,-6.9152,-10.37,-6.9285,-12.103,2.7463,-3.6698,98.289,23.858,-16.342,-10.05,-8.363,-9.9503
12,-5.4518,9.9477,-8.0804,-11.689,5.4392,-3.7296,12.933,6.7755,7.875,6.2077,2.4914,-9.261,-7.3553,11.252,-2.8295,-6.0072,-5.4732,6.5179,3.7857,10.448,5.7635,-7.4038,-5.5147,-7.2234
18,-8.1945,-1.9002,-2.5472,142.48,-8.4004,2.7315,4.1598,-2.6627,6.7989,5.2983,8.2124,2.975,-8.2795,4.7743,4.2346,-9.3139,-4.9509,5.5504,10.509,4.5754,-4.4383,-7.1642,2.6778,5.3587
24,6.5393,6.1915,-10.789,24.99,-3.9119,4.3663,-4.2064,4.8181,6.4769,-6.6746,4.7614,-4.8818,-10.001,6.4146,-6.7585,-7.7889,8.6489,5.0968,-5.8472,6.9157,4.8434,-6.3647,-7.2657,5.7286
30,-6.1772,8.8315,-8.4402,21.612,-13.163,-7.8292,-5.4418,-10.523,7.342,-8.3738,-5.2815,-6.0606,-5.5302,-11.569,-7.7555,-9.2707,5.2925,-6.7558,-6.5979,6.3731,14.413,-3.862,-8.0815,-6.4476
36,-9.3092,-4.8955,-7.4855,12.593,-14.891,-7.3114,-3.2952,3.4442,-2.2723,-5.5637,-10.192,7.121,-10.277,-6.8085,-8.1299,-3.8763,8.65,-6.7685,3.3091,1.9678,3.6821,3.4109,-6.1148,8.9438
42,5.4809,-8.6499,-7.6192,-4.3452,-8.0782,-6.1648,6.6271,-7.4076,-2.7677,-6.6119,6.042,9.632,9.8795,-2.8109,-4.3094,-3.1311,4.4221,-4.6995,-3.5088,6.1846,-4.9536,-4.6872,6.0051,-4.1304
48,-0.78277,-11.218,-3.2439,-2.5024,-2.9203,-2.8467,-8.756,5.6148,-0.91042,7.4516,7.9002,-3.5861,2.406,-6.3468,5.7315,-10.095,-4.8231,7.217,-1.4357,3.386,-7.8361,11.145,-2.6503,-4.4901
54,4.3153,-7.1205,-5.1487,-0.49296,-5.9647,-6.4465,-4.5746,-6.883,-4.5215,-4.8564,-5.78,5.6058,-9.0865,3.097,2.9972,-7.3285,6.3312,-4.7313,5.5785,8.466,2.3552,-3.6008,10.531,7.5196
