Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,0.0085602,-0.013891,-0.0063336,-0.0075365,0.0023967,0.0033281,-0.0042298,0.0079514,0.012878,-0.012118,-0.010349,-0.020332,0.010732,-0.012455,0.013956,-0.010087,0.018582,-0.0087019,0.051186,0.013002,-0.011974,-0.006629,-0.0089361,-0.008786
6,0.019745,-0.0030832,0.0074359,0.0027711,-0.0035772,0.0053422,-0.01073,0.011152,-0.012174,0.0098618,-0.0094619,-0.01978,-0.0073483,-0.0061829,0.010297,0.0071245,0.017926,0.005579,0.054287,0.013131,-0.01239,-0.012381,0.0042096,-0.009673
12,-0.0043197,-0.0073045,-0.016929,-0.016642,0.0081876,0.0090453,0.019047,0.012581,-0.0079801,0.00090491,-0.0086725,-0.0076223,0.008498,0.010943,0.011218,0.0087731,-0.0090766,0.0054092,-0.0037903,-0.0018721,-0.0097086,-0.011016,-0.0014578,0.0067529
18,0.011559,0.0040912,-0.017776,0.061829,-0.011592,-0.0068581,0.0088974,-0.0075664,-0.015781,-0.010728,-0.014331,-0.010353,-0.0086665,-0.0034221,0.0073114,-0.007938,-0.008969,-0.0025146,-0.010587,0.0025216,0.0096749,0.0075063,0.0036292,-0.016196
24,0.010313,-0.0073288,-0.014948,0.020326,-0.014136,-0.012531,-0.0066057,0.005296,0.0056152,-0.014493,-0.0074787,-0.013871,0.013555,-0.010939,0.0087613,-0.011989,0.014136,0.0090949,0.0069482,-0.0041748,-0.015028,-0.0067685,-0.0040022,-0.011823
30,0.0043733,-0.010422,-0.01284,0.018603,-0.014549,-0.0080921,-0.0058548,-0.0086376,0.0045816,0.0066888,-0.010437,-0.011388,0.012832,-0.0092799,-0.012458,-0.0065308,0.012057,-0.014076,0.0042708,0.0056283,-0.0052076,-0.01165,0.0099657,0.0042846
36,0.010289,0.0047784,-0.016711,0.0087245,-0.014923,-0.011478,0.012514,-0.0031633,0.012485,0.013032,-0.011366,-0.01112,0.017641,0.011297,0.0090198,0.0052794,0.0019104,0.015515,-0.01551,-0.0031069,-0.0090412,-0.010252,0.010217,-0.0037887
42,-0.0094799,-0.006538,-0.013501,-0.005274,-0.010231,-0.0027787,0.0024907,-0.0092928,-0.010275,0.0072705,0.0040735,-0.013579,0.006158,0.013687,0.011045,0.011515,-0.014113,0.0096665,-0.0071648,-0.0060587,0.0078403,0.014255,0.0030891,-0.0081233
48,-0.0097782,-0.010266,-0.0097155,-0.0086816,-0.011422,0.0068226,0.002726,0.0030996,-0.0072845,0.0090998,0.0084576,0.0068991,-0.013512,-0.0072338,0.0086615,0.010898,-0.017848,-0.011853,-0.0066497,0.0097779,0.0079752,0.016511,0.005966,-0.0084441
54,0.010514,0.0058021,-0.0015645,-0.0040816,0.004657,0.0064437,0.0063689,-0.0081927,-0.011781,-0.012178,-0.01215,-0.0086934,-0.0025323,-0.0047884,-0.013731,0.0045698,-0.017478,0.0090114,-0.0096249,0.0071486,-0.0025658,0.010327,0.0051115,0.011646
60,0.0084901,-0.0084488,-0.006486,-0.0030433,0.010841,0.0067566,0.012011,-0.015194,0.014331,-0.0062201,0.014962,-0.0037138,0.0064513,0.013735,0.0081076,0.0047728,-0.012223,-0.0094918,0.010358,-0.008745,0.0083648,0.012016,0.014207,0.015183
66,-0.0054695,0.0050916,-0.0060865,0.011715,0.0069008,-0.0055086,-0.010617,-0.0088423,-0.017702,0.008657,-0.0052931,-0.01015,0.00056103,-0.0026924,-0.0049434,0.011476,-0.0077307,-0.010067,-0.012538,0.011587,0.0098811,0.0070229,-0.007746,0.008794
72,-0.010007,0.0060784,0.0066943,0.0086092,-0.010448,-0.007435,-0.0096613,0.0072353,0.0044127,0.0099037,0.01052,-0.00084201,-0.0033255,-0.0086601,0.0076695,-0.014494,-0.010568,-0.0071179,0.010165,-0.010809,0.012631,0.0086569,0.013258,0.0035351
