Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,14.774,-27.318,-12.909,-15.62,5.0316,6.8214,-8.3421,15.366,22.856,-21.627,-18.168,-35.172,19.224,-21.471,24.288,-17.819,30.494,-15.131,91.824,23.816,-22.337,-12.031,-15.313,-14.644
6,34.079,-6.0634,15.156,5.7431,-7.5099,10.949,-21.161,21.55,-21.607,17.6,-16.611,-34.218,-13.163,-10.659,17.92,12.585,29.418,9.7008,97.386,24.053,-23.113,-22.47,7.2136,-16.122
12,-7.4556,-14.365,-34.504,-34.492,17.189,18.539,37.564,24.312,-14.164,1.615,-15.225,-13.186,15.223,18.864,19.523,15.497,-14.896,9.4055,-6.7995,-3.4292,-18.111,-19.993,-2.4981,11.255
18,19.95,8.0455,-36.231,128.14,-24.336,-14.056,17.547,-14.622,-28.009,-19.146,-25.159,-17.909,-15.524,-5.8992,12.724,-14.022,-14.719,-4.3724,-18.992,4.6188,18.048,13.623,6.219,-26.994
24,17.8,-14.413,-30.468,42.127,-29.677,-25.683,-13.028,10.234,9.9662,-25.867,-13.129,-23.996,24.28,-18.858,15.247,-21.179,23.199,15.814,12.464,-7.6469,-28.035,-12.284,-6.8581,-19.706
30,7.548,-20.496,-26.169,38.555,-30.543,-16.586,-11.547,-16.692,8.1317,11.938,-18.322,-19.701,22.986,-15.997,-21.681,-11.536,19.787,-24.476,7.6614,10.309,-9.7146,-21.144,17.077,7.1413
36,17.758,9.3971,-34.061,18.082,-31.329,-23.526,24.68,-6.1128,22.16,23.259,-19.954,-19.237,31.601,19.475,15.697,9.3258,3.1351,26.978,-27.824,-5.6909,-16.866,-18.607,17.508,-6.3147
42,-16.362,-12.857,-27.516,-10.93,-21.479,-5.6953,4.9121,-17.958,-18.237,12.976,7.1512,-23.49,11.031,23.594,19.221,20.341,-23.16,16.808,-12.853,-11.098,14.626,25.871,5.2934,-13.539
48,-16.877,-20.188,-19.802,-17.993,-23.98,13.984,5.3762,5.9899,-12.929,16.24,14.848,11.935,-24.204,-12.47,15.074,19.25,-29.291,-20.61,-11.929,17.91,14.877,29.966,10.223,-14.074
54,18.146,11.41,-3.1887,-8.4591,9.7769,13.207,12.561,-15.832,-20.91,-21.735,-21.329,-15.039,-4.5362,-8.2545,-23.896,8.0724,-28.683,15.669,-17.266,13.094,-4.7863,18.743,8.759,19.41
60,14.653,-16.615,-13.22,-6.3073,22.76,13.848,23.688,-29.362,25.435,-11.101,26.266,-6.4246,11.556,23.678,14.11,8.431,-20.06,-16.504,18.582,-16.018,15.604,21.808,24.345,25.307
66,-9.44,10.013,-12.405,24.279,14.487,-11.29,-20.94,-17.087,-31.418,15.45,-9.2923,-17.559,1.005,-4.6413,-8.603,20.272,-12.687,-17.505,-22.492,21.224,18.433,12.746,-13.273,14.657
72,-17.271,11.954,13.644,17.843,-21.935,-15.239,-19.054,13.982,7.832,17.675,18.467,-1.4566,-5.9569,-14.929,13.347,-25.602,-17.344,-12.377,18.236,-19.798,23.563,15.712,22.719,5.892
78,25.573,9.3804,21.709,16.638,-12.486,-10.373,-16.889,9.9204,-16.882,-20.647,6.6601,20.346,-11.035,4.756,20.064,-14.823,35.829,21.581,17.753,11.715,-24.498,-24.142,-17.158,-5.2011
84,19.318,15.746,-19.165,-19.39,10.135,6.0895,13.821,10.706,29.585,20.523,-18.058,-12.348,-21.194,10.699,10.202,-16.927,17.793,11.833,-23.189,-18.941,-22.065,-14.526,-24.764,-5.681
90,-20.697,-7.9649,-15.637,14.593,-13.805,16.219,3.3698,-26.752,12.891,-13.544,-10.584,-10.886,-16.928,-14.173,-11.788,-6.3059,21.162,21.608,2.7987,-15.676,13.434,9.2064,-7.0492,7.7075
96,-3.7836,-12.382,1.4729,16.483,19.237,-7.5244,23.593,16.786,12.662,-14.056,-7.3534,-5.1445,21.015,-16.142,-16.033,-9.8153,-23.165,-9.9246,-3.5986,-16.822,-22.732,-30.296,-26.154,11.908
102,-24.29,-17.641,11.842,6.2616,-12.697,24.425,13.62,18.51,9.0301,23.987,-9.7685,16.289,-12.044,4.9691,-10.799,13.124,-15.64,-24.294,-15.481,-12.072,17.975,12.892,20.742,-25.992
108,-2.0221,12.852,16.051,-29.639,23.446,-32.317,-28.883,11.842,10.641,-17.292,15.888,-9.6639,25.556,21.903,-20.227,-17.345,17.117,12.014,17.937,24.417,-15.395,-20.217,-23.503,-15.483
114,19.53,-13.651,-16.855,-11.354,-19.146,3.2503,-19.368,-9.144,-16.306,-14.624,-7.5968,8.3191,15.654,-18.301,16.498,24.279,16.968,6.998,-18.289,-17.865,-12.107,-16.959,18.106,-2.3287
120,-15.608,22.881,23.862,10.485,9.1912,9.9615,24.573,31.545,6.121,10.216,-19.015,8.819,13.042,7.8906,13.548,-8.9913,26.402,18.275,27.36,18.021,12.118,4.7882,17.939,-17.023
126,26.578,30.12,31.463,10.009,28.408,30.674,32.755,21.135,17.473,-5.3425,-24.641,-15.472,31.17,21.811,27.92,20.544,-20.646,4.6111,29.447,18.192,23.885,32.07,26.98,-21.755
132,76.88,83.855,86.945,85.891,90.644,83.662,77.026,81.419,69.283,68.507,59.677,57.837,61.868,61.747,59.074,64.347,67.108,66.27,72.074,69.854,72.159,66.957,60.172,54.256
138,96.604,110.69,111.69,108.6,114.34,109.84,101.67,100.29,88.768,94.19,86.062,76.931,87.814,80.4,84.991,84.273,84.957,86.967,93.371,92.102,95.27,89.434,88.662,77.302
