Time,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8
0,1587.3,950.13,1233.9,1123.7,1281.3,1244.3,1119,1502.5,2052.5,734.35,1051.7,90.951,1706.6,618.76,1578.5,799.4,2911,1124.6,9716.1,1722.9,547.04,1013.9,983.15,1004.8
6,2530.4,1659.6,1630.2,1400.7,1199.6,1317.6,740.83,1730.8,1063.2,1511.8,1105.9,157.13,1163.7,966.15,1309.7,1275.3,2846.6,1447.6,10769,1734.2,511.77,653.7,1269.7,959.33
12,1313.4,1490.1,210.02,178,1551.5,1541.4,2599.6,1857.4,1329.5,1204.7,1150,1154.1,1568.7,1435.6,1369.7,1357.1,1759.3,1442,1238.3,1144,717.97,758.91,1211.4,1345.9
18,1767,1761.1,87.833,17788,663.79,1000.1,1496.5,1052.6,745.58,835.51,748.82,1007.3,1096,1045,1150.5,920.29,1764.5,1334.4,923.77,1177.1,1371.7,1344.2,1256.3,490.59
24,1685.8,1488.7,472.24,3142.3,375.27,538.11,1018.9,1371.1,1629.4,532.98,1209.4,752.19,1926.5,724.13,1221.1,668.38,2519.3,1603.6,1439.8,1097.2,260.02,1007.7,1170.6,830.94
30,1426,1276.3,715.68,2854.2,323.11,922.64,1055.3,987.74,1596.2,1344.6,1046.1,939.89,1865.3,823.84,518.55,983.82,2372.7,754.44,1343.2,1262,951.61,711.53,1509.3,1270.3
36,1684.3,1784.7,240.37,1694.6,274.52,644.27,1797.7,1229,2021.1,1743,983.64,957.95,2335.6,1459,1235,1203.9,1991,2081.4,510.33,1123.3,761.52,812.39,1524.2,1179.4
42,1101.3,1531.1,643.36,1248.2,794.68,1165.3,1212.7,943.87,1197.5,1370.4,1432.9,776.21,1458.7,1636.4,1358.1,1530.7,1444.7,1636,1119.3,1032.6,1259.9,1827.9,1245.7,1036
48,1084.2,1288.8,1008.4,1043.9,680.96,1393.3,1217.5,1302.2,1362.9,1465.8,1602.3,1470.5,751.17,924.25,1215.8,1487.5,1123.2,928.75,1142.2,1476.5,1267.3,2056.6,1322.1,1021.2
54,1698.3,1826.6,1390.3,1296.1,1351.6,1372.2,1346.4,1015.7,1092.9,729.67,926.87,1101.8,1316.4,1011.6,417.56,1182.1,1158.4,1599,986.36,1327.2,1023.1,1509.9,1294.4,1596
60,1583.7,1420.3,1225.8,1327.9,1774,1389.5,1749.7,404.2,2177,1078.8,2071.7,1286.7,1470.6,1640.4,1187.7,1188,1578.7,1081.1,1629.8,899.14,1289.5,1634.2,1810.3,1859.7
66,1279.9,1796.7,1246.6,1957.1,1465.9,1070.2,750.14,974.38,542.98,1440.8,1295.5,1019.7,1338,1058.2,914.59,1527.9,1820.2,1047.1,778.61,1606.2,1385.8,1321.1,1041.4,1434.1
72,1070.7,1839.3,1586.7,1686,774.89,965.5,825.56,1461.8,1591.4,1514.5,1722.8,1325.9,1301.5,856.88,1166.8,461.44,1680.3,1200.3,1617,763.76,1601.2,1405.5,1733.8,1254
78,2022.9,1784.4,1871.8,1644.5,1100.1,1090.1,903.36,1364.8,1245.1,775.75,1426.2,1742,1215.2,1102.4,1391.2,897.19,3264.8,1819.3,1599.6,1293,445.85,575.77,923.24,1192.2
84,1742.2,1944.3,1033.2,991.69,1358.7,1234.8,1379.6,1381,2405.3,1623.3,1055.7,1175.5,887.84,1194.2,1092.7,830.4,2297.7,1493.5,746.77,796.97,559.12,947.6,604.38,1187
90,940.63,1633,1156,1580.6,1065.4,1460.8,1200,550.68,1696.2,1018.6,1269.8,1209.5,1050.4,878.88,849.65,1077.1,2428.9,1820.4,1292.3,909.99,1226.4,1243.4,1167.9,1278.7
96,1354.7,1543.1,1402.7,1639.4,1626.1,1141.1,1745.2,1548.1,1690.4,1004.5,1327.7,1301.5,1778.6,819.19,731.55,1020.6,1444.5,1255,1271.5,872.76,529.24,240.75,533.62,1361.1
102,778.96,1385.2,1540.7,1406.9,1094.8,1794.3,1374.1,1609,1611.6,1777.5,1286.4,1593.4,1191.9,1104.4,871.99,1289.2,1736.5,763.3,1044.8,1010,1369.1,1324.8,1647.8,543.66
108,1364.9,1861.6,1658.2,489.17,1805.7,153.35,354.37,1406.6,1643.3,903.05,1634.2,1234.6,1990.1,1559.5,579.47,816.05,2274.1,1497.9,1606.2,1751.9,808.97,749.88,665.23,979.53
114,1750.4,1510.1,1116.4,1238.8,889.45,1208.3,813.48,1182.7,1264.2,988.19,1324.1,1397.2,1582.1,744.81,1260.8,1706.4,2269,1402.5,950,836.56,899.4,871.01,1545.5,1213.8
120,1125.4,2219.9,1969.9,1477.6,1340.5,1297,1792.4,2261.4,1567.5,1306.4,1020.2,1405.8,1507.1,1142,1172.2,1036.1,2678.2,1687.5,2033,1480.5,1192.8,1181.5,1539.4,929.49
126,2075.4,2603.6,2390.5,1467.9,2063,2138.6,2261.5,1713.1,1835.4,1173.5,774.64,1088.6,2308.6,1555.5,1768.1,1539,1554.9,1374.8,2151.6,1486.7,1616.5,2187.1,1945.6,745.99
132,7279.5,8728.1,8959.9,8744.9,9472.3,8197.1,7121.6,7895.5,6330.2,5895.2,4943.1,4673.2,5164.7,4892.5,4478.3,5257.5,6484.7,5745.2,6479.1,6035.2,6252.9,5641.9,4838.3,4163
138,10701,13948,13874,13161,14331,13262,11525,11325,9409.8,10074,8788.5,7246.4,9048.3,7543.9,8212.2,8218.9,9198.7,8916.9,10003,9638.5,10122,9157,9078.7,7194.8
144,13905,17029,16609,17104,18287,16643,14995,15049,13827,12263,10966,9196.6,12010,10396,10242,11051,12449,12286,12751,12373,13384,11709,11213,9808.5
150,15244,19785,18749,19566,21453,19943,17592,17445,16465,15221,12899,12667,13936,12453,12139,13094,14537,14316,15448,15776,15592,14407,13427,11721
156,17830,23039,24217,23682,24498,23088,21356,19931,18096,16943,14681,15046,16506,14403,14179,16221,16338,17193,17820,17764,17878,17119,15701,13623
162,20958,26817,28436,27340,28837,26289,24026,23328,21597,19976,18124,17094,19139,17381,16789,17245,18523,20334,20279,20446,20302,19628,17800,15762
168,22888,30153,30726,31014,31902,30259,27344,26217,24408,23123,20871,19042,21915,19724,18997,20261,20911,21872,22963,22868,23768,22023,20141,18370
